"id","name","group","guest_list","style","option1","option2","vp"
1,57,1,0,1,3,2,6
2,56,1,0,0,3,2,3
3,55,1,2,0,0,0,9
4,54,1,2,1,1,1,2
5,53,1,NA,NA,NA,NA,1
6,52,2,2,2,1,1,11
7,51,2,NA,NA,NA,NA,3
8,50,2,0,0,2,1,4
9,49,2,0,1,2,1,5
10,48,2,0,0,1,0,1
11,47,3,0,0,3,2,3
12,46,3,0,1,1,1,3
13,45,3,2,1,1,1,3
14,44,3,0,1,3,2,11
15,43,3,0,1,1,2,4
16,42,4,0,0,2,1,3
17,41,4,1,0,2,1,4
18,40,4,0,0,3,2,6
19,39,4,NA,NA,NA,NA,5
20,38,4,NA,NA,NA,NA,2
21,37,5,NA,NA,NA,NA,2
22,36,5,NA,NA,NA,NA,7
23,35,5,1,1,3,1,3
24,34,5,1,1,1,2,3
25,33,5,0,0,3,1,8
26,32,6,2,0,2,1,0
27,31,6,NA,NA,NA,NA,3
28,30,6,0,0,2,0,2
29,29,6,0,1,1,1,7
30,28,6,1,0,3,2,4
31,27,7,0,1,3,2,5
32,26,7,0,1,3,1,2
33,25,7,0,0,3,2,5
34,24,7,0,0,3,1,3
35,23,7,2,2,0,0,2
36,22,8,0,0,2,2,4
37,21,8,1,1,3,2,3
38,20,8,2,2,0,0,3
39,19,8,0,1,1,2,4
40,18,8,2,2,1,2,9
41,17,9,NA,NA,NA,NA,4
42,16,9,2,0,1,2,10
43,15,9,2,2,0,0,2
44,14,9,1,0,1,1,5
45,13,9,0,0,3,1,2
46,12,10,2,1,3,0,6
47,11,10,NA,NA,NA,NA,5
48,10,10,2,1,0,0,13
49,9,10,2,1,1,2,3
50,8,10,0,1,2,1,5
51,7,11,2,1,2,1,14
52,6,11,2,0,3,2,3
53,5,11,2,1,1,1,2
54,4,11,0,0,2,1,4
55,3,11,0,1,3,1,7
56,2,12,2,1,1,2,3
57,1,12,NA,NA,NA,NA,3
