"RecipeId","SubRecipeId","Factor"
2,3,1
2,9,1
2,10,1
2,12,1
6,1,1
6,9,1
6,10,1
6,12,1
7,9,1
7,10,1
7,11,1
7,12,1
8,4,1
8,9,1
8,10,1
8,12,1
9,5,1
9,9,1
9,10,1
9,12,1
10,1,1
10,9,1
10,10,1
10,12,1
11,3,1
11,9,1
11,10,1
11,12,1
12,9,1
12,10,1
12,11,1
12,12,1
13,4,1
13,9,1
13,10,1
13,12,1
14,5,1
14,9,1
14,10,1
14,12,1
15,1,1
15,9,1
15,10,1
15,12,1
16,3,1
16,9,1
16,10,1
16,12,1
17,9,1
17,10,1
17,11,1
17,12,1
18,4,1
18,9,1
18,10,1
18,12,1
19,5,1
19,9,1
19,10,1
19,12,1
20,1,1
20,9,1
20,10,1
20,12,1
21,3,1
21,9,1
21,10,1
21,12,1
22,9,1
22,10,1
22,11,1
22,12,1
23,4,1
23,9,1
23,10,1
23,12,1
24,5,1
24,9,1
24,10,1
24,12,1
25,1,1
25,9,1
25,10,1
25,12,1
26,3,1
26,9,1
26,10,1
26,12,1
27,9,1
27,10,1
27,11,1
27,12,1
28,4,1
28,9,1
28,10,1
28,12,1
29,5,1
29,9,1
29,10,1
29,12,1
30,1,1
30,9,1
30,10,1
30,12,1
31,3,1
31,9,1
31,10,1
31,12,1
32,9,1
32,10,1
32,11,1
32,12,1
33,4,1
33,9,1
33,10,1
33,12,1
34,5,1
34,9,1
34,10,1
34,12,1
35,1,1
35,9,1
35,10,1
35,12,1
36,3,1
36,9,1
36,10,1
36,12,1
37,9,1
37,10,1
37,11,1
37,12,1
38,4,1
38,9,1
38,10,1
38,12,1
39,5,1
39,9,1
39,10,1
39,12,1
40,1,1
40,9,1
40,10,1
40,12,1
41,3,1
41,9,1
41,10,1
41,12,1
42,9,1
42,10,1
42,11,1
42,12,1
43,4,1
43,9,1
43,10,1
43,12,1
44,5,1
44,9,1
44,10,1
44,12,1
45,1,1
45,9,1
45,10,1
45,12,1
46,3,1
46,9,1
46,10,1
46,12,1
47,9,1
47,10,1
47,11,1
47,12,1
48,4,1
48,9,1
48,10,1
48,12,1
49,5,1
49,9,1
49,10,1
49,12,1
50,1,1
50,9,1
50,10,1
50,12,1
51,3,1
51,9,1
51,10,1
51,12,1
52,9,1
52,10,1
52,11,1
52,12,1
53,4,1
53,9,1
53,10,1
53,12,1
54,5,1
54,9,1
54,10,1
54,12,1
55,1,1
55,9,1
55,10,1
55,12,1
56,3,1
56,9,1
56,10,1
56,12,1
57,9,1
57,10,1
57,11,1
57,12,1
58,4,1
58,9,1
58,10,1
58,12,1
59,5,1
59,9,1
59,10,1
59,12,1
60,1,1
60,9,1
60,10,1
60,12,1
61,3,1
61,9,1
61,10,1
61,12,1
62,9,1
62,10,1
62,11,1
62,12,1
63,4,1
63,9,1
63,10,1
63,12,1
64,5,1
64,9,1
64,10,1
64,12,1
65,1,1
65,9,1
65,10,1
66,3,1
66,9,1
66,10,1
67,9,1
67,10,1
67,11,1
68,4,1
68,9,1
68,10,1
69,5,1
69,9,1
69,10,1
75,1,1
75,9,1
75,10,1
75,12,1
76,3,1
76,9,1
76,10,1
76,12,1
77,9,1
77,10,1
77,11,1
77,12,1
78,4,1
78,9,1
78,10,1
78,12,1
79,5,1
79,9,1
79,10,1
79,12,1
80,9,0
80,10,0
80,12,0
80,13,1
93,1,1
93,9,1
93,10,1
93,12,1
94,3,1
94,9,1
94,10,1
94,12,1
95,9,1
95,10,1
95,11,1
95,12,1
96,4,1
96,9,1
96,10,1
96,12,1
97,5,1
97,9,1
97,10,1
97,12,1
98,9,0
98,10,0
98,12,0
98,13,1
99,9,0
99,10,0
99,12,0
99,13,1
100,9,0
100,10,0
100,12,0
100,13,1
101,9,0
101,10,0
101,12,0
101,13,1
102,1,1
102,9,1
102,10,1
103,3,1
103,9,1
103,10,1
104,9,1
104,10,1
104,11,1
105,4,1
105,9,1
105,10,1
106,5,1
106,9,1
106,10,1
107,1,1
107,9,1
107,10,1
107,12,1
108,3,1
108,9,1
108,10,1
108,12,1
109,9,1
109,10,1
109,11,1
109,12,1
110,4,1
110,9,1
110,10,1
110,12,1
111,5,1
111,9,1
111,10,1
111,12,1
112,1,1
112,9,2
112,10,1
112,12,1
113,3,1
113,9,2
113,10,1
113,12,1
114,9,1
114,10,1
114,11,1
114,12,1
115,4,1
115,9,1
115,10,1
115,12,1
116,5,1
116,9,2
116,10,1
116,12,1
117,1,1
117,9,1
117,10,1
118,3,1
118,9,1
118,10,1
119,9,1
119,10,1
119,11,1
120,4,1
120,9,1
120,10,1
121,5,1
121,9,1
121,10,1
122,9,1
122,15,1
123,9,1
123,17,1
124,9,1
124,16,1
125,9,1
125,18,1
126,9,0
126,14,1
127,9,1
127,15,1
128,9,1
128,17,1
129,9,1
129,16,1
130,9,1
130,18,1
131,9,0
131,14,1
132,9,1
132,15,1
133,9,1
133,17,1
134,9,1
134,16,1
135,9,1
135,18,1
136,9,0
136,14,1
137,9,1
137,15,1
138,9,1
138,17,1
139,9,1
139,16,1
140,9,1
140,18,1
145,9,0
145,14,1
146,9,1
146,15,1
147,9,1
147,17,1
148,9,1
148,16,1
149,9,1
149,18,1
150,9,0
150,14,1
151,9,1
151,15,1
152,9,1
152,17,1
153,9,1
153,16,1
154,9,1
154,18,1
155,9,0
155,14,1
156,9,1
156,15,1
157,9,1
157,17,1
158,9,1
158,16,1
159,9,1
159,18,1
160,9,0
160,14,1
161,1,1
161,9,1
161,10,1
161,12,1
162,3,1
162,9,1
162,10,1
162,12,1
163,9,1
163,10,1
163,11,1
163,12,1
164,4,1
164,9,1
164,10,1
164,12,1
165,5,1
165,9,1
165,10,1
165,12,1
166,1,1
166,9,1
166,10,1
167,3,1
167,9,1
167,10,1
168,9,1
168,10,1
168,11,1
169,4,1
169,9,1
169,10,1
170,5,1
170,9,1
170,10,1
171,1,1
171,9,1
171,10,1
172,3,1
172,9,1
172,10,1
173,9,1
173,10,1
173,11,1
174,4,1
174,9,1
174,10,1
175,5,1
175,9,1
175,10,1
176,9,0
176,20,1
177,9,0
177,19,1
178,9,1
178,21,1
179,9,1
179,21,1
180,9,0
180,20,1
181,9,0
181,19,1
182,9,1
182,21,1
183,9,0
183,20,1
184,9,0
184,19,1
185,9,1
185,21,1
186,9,0
186,20,1
187,9,0
187,19,1
188,9,1
188,21,1
189,9,0
189,20,1
190,9,0
190,19,1
191,9,1
191,21,1
192,9,0
192,20,1
193,9,0
193,19,1
194,9,1
194,21,1
195,9,0
195,20,1
196,9,0
196,19,1
197,9,1
198,1,1
198,9,1
198,10,1
198,12,1
199,3,1
199,9,1
199,10,1
199,12,1
200,9,1
200,10,1
200,11,1
200,12,1
201,4,1
201,9,1
201,10,1
201,12,1
202,5,1
202,9,1
202,10,1
202,12,1
203,1,1
203,9,1
203,10,1
204,3,1
204,9,1
204,10,1
205,9,1
205,10,1
205,11,1
206,4,1
206,9,1
206,10,1
207,1,1
207,9,2
207,10,1
208,3,1
208,9,2
208,10,1
209,9,1
209,10,1
209,11,1
210,4,1
210,9,1
210,10,1
211,5,1
211,9,2
211,10,1
212,1,1
212,9,1
212,10,1
212,12,1
213,3,1
213,9,1
213,10,1
213,12,1
214,9,1
214,10,1
214,11,1
214,12,1
215,4,1
215,9,1
215,10,1
215,12,1
216,5,1
216,9,1
216,10,1
216,12,1
217,9,0
217,10,0
217,12,0
217,13,1
218,1,1
218,9,1
218,10,1
218,12,1
219,3,1
219,9,1
219,10,1
219,12,1
220,9,1
220,10,1
220,11,1
220,12,1
221,4,1
221,9,1
221,10,1
221,12,1
222,5,1
222,9,1
222,10,1
222,12,1
223,1,1
223,9,1
223,10,1
223,12,1
224,3,1
224,9,1
224,10,1
224,12,1
225,9,1
225,10,1
225,11,1
225,12,1
226,4,1
226,9,1
226,10,1
226,12,1
227,5,1
227,9,1
227,10,1
227,12,1
228,1,1
228,9,1
228,10,1
229,3,1
229,9,1
229,10,1
230,9,1
230,10,1
230,11,1
231,4,1
231,9,1
231,10,1
232,5,1
232,9,1
232,10,1
233,1,1
233,9,1
233,10,1
233,12,1
234,3,1
234,9,1
234,10,1
234,12,1
235,9,1
235,10,1
235,11,1
235,12,1
236,4,1
236,9,1
236,10,1
236,12,1
237,5,1
237,9,1
237,10,1
237,12,1
238,1,1
238,9,1
238,10,1
238,12,1
239,3,1
239,9,1
239,10,1
239,12,1
240,9,1
240,10,1
240,11,1
240,12,1
241,4,1
241,9,1
241,10,1
241,12,1
242,5,1
242,9,1
242,10,1
242,12,1
243,1,1
243,9,1
243,10,1
243,12,1
244,3,1
244,9,1
244,10,1
244,12,1
245,9,1
245,10,1
245,11,1
245,12,1
246,4,1
246,9,1
246,10,1
246,12,1
247,5,1
247,9,1
247,10,1
247,12,1
248,1,1
248,9,1
248,10,1
249,3,1
249,9,1
249,10,1
250,9,1
250,10,1
250,11,1
251,4,1
251,9,1
251,10,1
252,1,1
252,9,1
252,10,1
252,12,1
253,3,1
253,9,1
253,10,1
