Date,California 1 (ID:46673),California 2 (ID:4904),New York 1 (ID:12631),New York 2 (ID:20974)
2015-06-16,4255.78,10204.43,7353.34,6784.25
2015-06-17,3997.05,9870.59,7216.18,7170.98
2015-06-18,4391.5,8797.4,8530.56,7515.7
2015-06-19,3489.35,6331.46,8026.73,5886.42
2015-06-20,2984.78,6331.19,7177.95,5315.97
2015-06-21,5041.21,9874.37,7354.14,5787.92
2015-06-22,4790.64,9832.02,6740.89,6639.97
2015-06-23,3985.12,10316.2,7664.72,6473.02
2015-06-24,3868.3,9976.49,6941.75,6826.01
2015-06-25,4278.83,8897.74,8697.98,7140.23
2015-06-26,3737.71,6426.52,8566.72,5626.99
2015-06-27,3152.96,6421.26,7023.57,5094.17
2015-06-28,4418.59,9959.71,7257.91,5526.57
2015-06-29,4730.9,9912.87,6827.43,6311
