,node,partition,estimate,compare
0,1,1,1,True
1,2,1,1,True
2,3,1,1,True
3,4,1,1,True
4,5,1,2,False
5,6,1,2,False
6,7,1,2,False
7,8,1,1,True
8,9,1,3,False
9,10,2,1,False
10,11,1,2,False
11,12,1,1,True
12,13,1,1,True
13,14,1,1,True
14,15,2,3,False
15,16,2,3,False
16,17,1,2,False
17,18,1,1,True
18,19,2,3,False
19,20,1,1,True
20,21,2,3,False
21,22,1,1,True
22,23,2,3,False
23,24,2,4,False
24,25,2,4,False
25,26,2,4,False
26,27,2,3,False
27,28,2,4,False
28,29,2,4,False
29,30,2,3,False
30,31,2,3,False
31,32,2,4,False
32,33,2,3,False
33,34,2,3,False
