week,sales_pl,feat_pl,disp_pl,price_pl,sales_philly,feat_philly,disp_philly,price_philly
1,6362,0,3,1.971864194,4958,0,0,2.421744922
2,5903,0,0,1.972048111,6006,0,0,2.419916757
3,3429,0,0,2.140565763,6487,0,0,2.430666817
4,1404,0,0,2.103276353,8863,0,0,1.580019462
5,2350,0,0,2.133617021,30830,100,44,2.001460864
6,7177,81,3,1.77999164,13006,0,18,1.995349297
7,5304,0,0,1.779977376,10106,0,6,1.979965067
8,12514,81,29,1.303260348,9733,0,0,1.979955021
9,1799,0,21,1.986659255,10227,0,0,1.980007371
10,1990,0,16,2.136180905,21708,81,66,1.979917438
11,3913,0,11,2.137234858,8963,100,19,2.421338834
12,4472,0,6,2.125670841,5333,0,0,2.42548448
13,4137,0,0,2.116509548,5831,0,0,2.420944206
14,3694,0,0,2.10963725,5825,81,0,2.426869855
15,4079,0,0,2.114488845,5709,0,0,2.426147186
16,3795,0,0,2.117786561,5775,0,0,2.42610036
17,4775,0,0,2.131099476,5839,0,0,2.523407775
18,5452,0,0,2.119038885,6045,0,0,2.599171192
19,4312,0,6,2.054962894,6998,0,0,2.571134769
20,1142,0,6,2.116462347,8266,0,0,1.684756655
21,1027,0,0,1.961051607,33923,100,47,1.780026187
22,2404,0,0,1.965058236,25203,100,43,1.793739002
23,5077,0,0,1.962379358,10797,0,28,2.58653331
24,5114,0,0,1.963824795,5599,0,18,2.524499908
25,4261,0,0,1.960807322,5449,0,5,2.180084402
26,8839,0,27,1.968322208,12322,100,25,2.515115938
27,5191,0,6,1.97225968,6814,0,16,2.515276505
28,16851,0,34,1.966233458,6546,0,31,2.519272614
29,14720,100,12,1.379959239,6434,0,34,2.386269714
30,3379,0,6,2.104764723,11857,0,28,1.780015664
31,2461,0,6,2.112149533,67673,100,46,1.786451141
32,6633,0,11,2.105985225,12311,100,50,2.515538608
33,14529,34,16,1.963727717,10490,0,33,2.435673557
34,10121,0,16,1.932714159,22448,0,25,1.980000581
35,10354,34,6,1.774096967,68802,100,31,1.979966298
36,7155,100,17,1.780013976,21364,0,31,1.999874624
37,5475,0,16,1.795251142,7976,0,11,2.523502118
38,3749,0,0,2.096025607,4957,0,0,2.376869873
39,9555,36,18,1.967032967,12434,0,9,1.839937991
40,5039,0,8,1.973804326,10321,100,14,2.521568627
41,3797,0,5,2.14537793,5100,0,0,2.529913073
42,4513,0,0,2.134057168,5867,0,0,2.528463151
43,6880,100,12,1.968895349,6201,0,0,2.520367412
44,5868,0,7,1.962849352,5008,0,0,2.513004981
45,5338,0,0,1.962532784,5421,0,0,2.479432369
46,6614,100,0,1.966132446,5567,0,0,2.412403506
47,2086,0,0,1.96021093,7643,0,0,1.979931512
48,3307,100,6,1.969156335,12557,0,9,1.98
49,2658,0,16,1.968773514,12900,0,9,2.002937576
50,1200,0,0,2.09,8170,0,0,1.97998241
51,1645,0,0,2.080243161,28425,100,62,1.980018416
52,1584,100,0,2.098484848,32580,100,63,1.985297369
53,2756,0,0,2.102322206,9046,0,54,2.408723748
54,1367,0,0,1.975128018,7428,0,23,1.979948531
55,3293,0,0,1.972669299,18652,100,34,1.990658363
56,6128,0,0,1.965567885,11240,0,32,2.477211394
57,5198,0,0,1.978453251,6670,0,5,2.474699192
58,12620,0,41,1.580031696,6067,0,10,2.47190792
59,3499,0,0,2.179765647,5126,0,5,2.356622566
60,3872,0,5,2.179752066,6727,0,5,2.357460733
61,1575,0,0,2.18031746,7640,0,0,2.179991904
62,4092,0,0,2.16544477,19762,100,43,1.780022299
63,5258,0,0,1.987067326,15247,100,21,2.307570729
64,5334,0,0,1.979940007,6327,0,5,2.369058543
65,5778,0,0,1.979923849,5449,0,0,2.3618229
66,5441,0,0,1.979966918,6166,0,5,2.368508655
67,4877,0,0,1.986057002,6008,0,5,2.362472993
68,4874,0,0,1.98563808,6017,0,5,2.357732981
69,4013,0,0,2.180164465,6052,0,5,2.35602918
70,3501,0,0,2.179948586,6991,0,0,2.355819125
71,3358,0,0,2.150684932,6745,0,0,1.980006224
72,7459,0,31,1.980024132,12854,100,17,2.326019747
73,4685,0,17,1.989114194,10027,0,10,2.362616099
74,4011,0,5,2.141859885,5168,0,5,2.366149121
75,6817,0,18,1.979903183,5861,0,5,2.362323944
76,4160,0,5,1.994471154,5680,0,5,2.363286969
77,3076,0,5,2.16970091,5464,0,5,2.363621067
78,3226,0,5,2.189708617,5943,0,5,2.367257285
79,3142,0,0,2.189688097,6829,0,5,2.365004971
80,3566,0,6,2.18984857,7041,0,5,2.355958487
81,2902,0,0,2.189869056,8383,0,29,2.351891892
82,750,0,6,2.189333333,7400,0,23,0.980007861
83,1672,0,9,2.189593301,38165,100,51,1.980018269
84,1136,0,6,2.191021127,70064,100,58,1.994691036
85,4084,0,6,2.189520078,11490,0,58,2.358355511
86,19901,100,23,1.759961811,10897,0,33,2.355286768
87,19956,0,0,1.779965925,15047,0,27,2.323297354
