WEEK,UNITS1,PRICE1,FEAT1,DISP1,UNITS2,PRICE2,FEAT2,DISP2,UNITS3,PRICE3,FEAT3,DISP3,UNITS4,PRICE4,FEAT4,DISP4
1,59,4.1334,0,0,72,3.454,0,0,73,4.1763,0,0,30,4.104,0,0
2,78,4.0569,0,0,63,3.4641,0,0,79,4.0872,0,0,60,3.6733,0,0
3,73,4.13,0,0,69,3.6794,0,0,133,3.9834,0,0,85,3.8773,0,0
4,79,4.13,0,0,137,4.1026,0,0,188,3.4957,0,0,86,2.9858,0,0
5,55,4.13,0,0,61,4.13,0,0,148,3.38,0,0,68,2.9965,0,0
6,100,4.13,0,0,101,4.13,0,0,161,3.38,0,0,80,2.9,0,0
7,343,3.3397,1,0,51,4.13,0,0,133,3.38,0,0,94,3.1355,0,0
8,690,3.3654,1,0.8029,78,4.13,0,0,120,3.38,0,0,121,2.8288,0,0.8029
9,397,3.38,0,0.8615,42,4.13,0,0,90,3.38,0,0,95,2.8007,0,0.8615
10,139,3.4016,0,0.8058,1478,2.9105,1,0,82,3.5538,0,0,69,2.8228,0,0.8058
11,147,3.4463,0,0,1774,2.912,0,0.9932,129,3.8102,0,0,104,3.9775,0,0
12,93,3.4445,0,0,439,3.2982,0,0.4624,119,4.0922,0,0,68,3.7409,0,0
13,91,3.5531,0,0,12,4.035,0,0,91,4.1135,0,0,72,3.7131,0,0
14,64,3.5222,0,0,15,3.7267,0,0,51,4.0586,0,0,52,3.9687,0,0
15,82,3.4155,0,0,8,4.0775,0,0,55,4.068,0,0,78,4.0014,0,0
16,60,3.38,0,0,7,4.13,0,0,56,4.13,0,0,106,4.0719,0,0
17,138,3.38,0,0.5507,27,4.13,0,0,141,4.1247,0,0,129,4.0681,0,0.5507
18,126,3.38,0,0,6,4.13,0,0,90,4.13,0,0,82,3.9622,0,0
19,112,3.5943,0,0,10,4.13,0,0,138,4.13,0,0,124,3.3203,0,0
20,63,3.9871,0,0,36,4.13,0,0,71,4.13,0,0,130,3.1268,0,0
21,74,4.1199,0,0,80,3.6808,0,0,93,4.13,0,0,192,3.0608,0,0
22,86,4.13,0,0,99,3.1381,0,0,69,4.13,0,0,186,3.0775,0,0
23,86,4.0515,0,0,1236,2.685,1,0.9806,74,4.13,0,0,78,3.3915,0,0
24,43,4.13,0,0,840,2.7534,0,0.8131,86,4.13,0,0,52,3.9138,0,0
25,53,4.13,0,0,423,2.893,0,0.5319,80,3.8878,0,0,62,3.9471,0,0
26,36,3.9842,0,0,299,2.8619,0,0.4649,81,3.4685,0,0,51,3.7778,0,0
27,52,4.1156,0,0,180,2.8729,0,0,43,3.7058,0,0,45,3.5149,0,0
28,63,4.13,0,0,173,2.8951,0,0,51,3.6829,0,0,66,3.3079,0,0
29,84,3.5764,0,0,137,2.9218,0,0,64,4.13,0,0,96,3.4217,0,0
30,60,3.505,0,0,200,2.8238,1,0,74,4.13,0,0,109,3.3961,0,0
31,29,3.4576,0,0,223,2.7316,0,0,69,4.13,0,0,88,3.4141,0,0
32,35,3.6586,0,0,148,3.063,0,0,76,4.13,0,0,96,3.2863,0,0
33,62,3.5252,0,0,62,3.3316,0,0,59,4.13,0,0,58,3.2583,0,0
34,123,3.4044,0,0,1119,2.4011,1,0.9401,77,4.13,0,0,72,3.1486,0,0
35,100,3.38,0,0,605,2.442,0,0,58,4.13,0,0,51,3.3575,0,0
36,151,3.38,0,0,200,3.048,0,0.675,76,4.13,0,0,51,3.4943,0,0
37,126,3.3769,0,0,185,3.0195,0,0.6378,51,4.13,0,0,37,3.8597,0,0
38,159,3.417,0,0,229,3.0191,0,0,64,4.1703,0,0,71,4.1469,0,0
39,94,3.9104,0,0,718,2.5645,1,0.3231,48,4.165,0,0,28,4.0129,0,0
40,103,4.0855,0,0,370,2.7212,0,0.3216,30,4.3317,0,0,48,4.2127,0,0
41,109,4.116,0,0,280,2.7999,0,0,47,4.4657,0,0,45,4.07,0,0
42,86,4.1243,0,0,112,3.2188,0,0,44,4.2905,0,0,49,3.4031,0,0
43,124,4.166,0,0,519,2.8963,1,0,34,4.3729,0,0,69,3.232,0,0
44,64,4.1744,0,0,318,2.9475,0,0,32,4.0747,0,0,59,3.1197,0,0
45,63,4.1652,0,0,132,2.9986,0,0,40,4.1555,0,0,57,3.1525,0,0
46,26,4.1692,0,0,166,3.1411,0,0,63,4.1605,0,0,48,3.2017,0,0
47,42,4.19,0,0,138,3.2748,0,0,36,4.1583,0,0,35,3.134,0,0
48,237,3.5256,0,0,591,2.8141,1,0.3807,53,4.1674,0,0,44,3.1327,0,0
49,4776,3.2501,1,0.9826,254,2.8159,0,0,48,4.1713,0,0,36,3.2083,0,0.9826
50,1422,3.2211,0,0.9923,67,3.0043,0,0,51,4.0282,0,0,16,3.1188,0,0.9923
51,1147,3.1915,0,0.7315,123,3.0118,0,0,59,3.802,0,0,36,3.1161,0,0.7315
52,689,3.183,0,0.508,162,2.9962,0,0,72,3.5075,0,0,28,3.1357,0,0.508
53,530,3.1774,0,1,76,2.9842,0,0,56,3.4491,0,0,309,3.0029,1,1
54,404,3.2264,0,0.4035,100,3.006,0,0,72,3.3913,0,0,934,3.1342,1,0.4035
55,211,3.2935,0,0.5687,110,3.0245,0,0,74,3.4068,0,0,299,3.0886,0,0.5687
56,432,3.2902,1,0.9352,98,3.0839,0,0,80,3.4396,0,0,156,3.0262,0,0.9352
57,226,3.3519,0,0,39,3.1336,0,0,76,3.44,0,0,100,3.1485,0,0
58,199,3.5207,0,0,77,3.429,0,0,117,3.499,0,0,89,3.2529,0,0
59,200,3.353,0,0,61,3.6064,0,0,91,3.6559,0,0,57,3.5058,0,0
60,159,3.3713,0,0,74,3.5008,0,0,94,4.1319,0,0,69,3.5088,0,0
61,132,3.5023,0,0,64,3.6088,0,0,64,4.1553,0,0,84,3.8686,0,0
62,232,3.3346,0,0,46,3.7465,0,0,54,4.1644,0,0,42,4.19,0,0
63,243,3.1215,0,0,139,3.5123,0,0,46,4.1665,0,0,30,4.19,0,0
64,186,3.3352,0,0,69,3.2625,0,0,54,4.1644,0,0,36,4.0511,0,0
65,102,3.5179,0,0,69,3.2161,0,0,52,4.1692,0,0,44,3.6218,0,0
66,140,3.5418,0,0,69,3.2045,0,0,61,4.187,0,0,26,3.4977,0,0
67,101,3.5648,0,0,44,3.19,0,0,27,4.19,0,0,33,3.493,0,0
68,121,3.5987,0,0,68,3.19,0,0,41,4.19,0,0,45,3.4789,0,0
69,192,3.4752,0,0,128,3.1978,0,0,78,4.19,0,0,75,3.47,0,0
70,59,3.4756,0,0,48,3.19,0,0,33,4.19,0,0,35,3.19,0,0
71,74,3.592,0,0,75,3.19,0,0,51,4.19,0,0,40,3.365,0,0
72,60,3.5025,0,0,61,3.19,0,0,39,4.19,0,0,24,3.6483,0,0
73,51,3.5635,0,0,56,3.19,0,0,39,4.19,0,0,22,3.2355,0,0
74,49,3.642,0,0,48,3.19,0,0,42,4.19,0,0,26,3.2285,0,0
75,71,3.6228,0,0,94,3.19,0,0,58,4.19,0,0,27,3.3011,0,0
