trend,country,year,month,brand,model,segment,budget eur net,registrations,lag registrations,share voice net,market share,lag market share,total budget eur net H,total registrations H,lag.total registrations H
1,Italy,2003,January,BMW,5 Series,H,3,359,,0.000807754,0.038798228,,3714,9253,
2,Italy,2003,February,BMW,5 Series,H,4,480,359,0.000990344,0.052083333,0.038798228,4039,9216,9253
3,Italy,2003,March,BMW,5 Series,H,1,580,480,0.000236574,0.0589371,0.052083333,4227,9841,9216
4,Italy,2003,April,BMW,5 Series,H,1,337,580,0.000253485,0.034040404,0.0589371,3945,9900,9841
5,Italy,2003,May,BMW,5 Series,H,2,451,337,0.000291418,0.047279589,0.034040404,6863,9539,9900
6,Italy,2003,June,BMW,5 Series,H,854,850,451,0.125403818,0.079431829,0.047279589,6810,10701,9539
7,Italy,2003,July,BMW,5 Series,H,318,822,850,0.107723577,0.069133726,0.079431829,2952,11890,10701
8,Italy,2003,August,BMW,5 Series,H,87,467,822,0.086567164,0.107727797,0.069133726,1005,4335,11890
9,Italy,2003,September,BMW,5 Series,H,1642,1483,467,0.355411255,0.162645317,0.107727797,4620,9118,4335
10,Italy,2003,October,BMW,5 Series,H,68,1008,1483,0.014847162,0.104401864,0.162645317,4580,9655,9118
11,Italy,2003,November,BMW,5 Series,H,27,862,1008,0.005528256,0.101138097,0.104401864,4884,8523,9655
12,Italy,2003,December,BMW,5 Series,H,4,847,862,0.00194742,0.106087174,0.101138097,2054,7984,8523
13,Italy,2004,January,BMW,5 Series,H,3,1044,847,0.001192369,0.086978255,0.106087174,2516,12003,7984
14,Italy,2004,February,BMW,5 Series,H,1005,1259,1044,0.19567757,0.117159873,0.086978255,5136,10746,12003
15,Italy,2004,March,BMW,5 Series,H,38,1287,1259,0.008112724,0.105319149,0.117159873,4684,12220,10746
16,Italy,2004,April,BMW,5 Series,H,10,1139,1287,0.001941371,0.097919532,0.105319149,5151,11632,12220
17,Italy,2004,May,BMW,5 Series,H,2090,1362,1139,0.348449483,0.115905029,0.097919532,5998,11751,11632
18,Italy,2004,June,BMW,5 Series,H,426,1633,1362,0.132298137,0.135294118,0.115905029,3220,12070,11751
19,Italy,2004,July,BMW,5 Series,H,247,1721,1633,0.090409956,0.127993455,0.135294118,2732,13446,12070
20,Italy,2004,August,BMW,5 Series,H,111,522,1721,0.059011164,0.108186528,0.127993455,1881,4825,13446
21,Italy,2004,September,BMW,5 Series,H,113,1605,522,0.054222649,0.150704225,0.108186528,2084,10650,4825
22,Italy,2004,October,BMW,5 Series,H,1812,1259,1605,0.384631713,0.12331048,0.150704225,4711,10210,10650
23,Italy,2004,November,BMW,5 Series,H,930,1217,1259,0.283882784,0.120878029,0.12331048,3276,10068,10210
24,Italy,2004,December,BMW,5 Series,H,953,1619,1217,0.298091961,0.164884408,0.120878029,3197,9819,10068
25,Italy,2005,January,BMW,5 Series,H,1269,1384,1619,0.543468951,0.105875153,0.164884408,2335,13072,9819
26,Italy,2005,February,BMW,5 Series,H,832,1612,1384,0.159021407,0.148735929,0.105875153,5232,10838,13072
27,Italy,2005,March,BMW,5 Series,H,257,1808,1612,0.031280428,0.138544061,0.148735929,8216,13050,10838
28,Italy,2005,April,BMW,5 Series,H,119,1183,1808,0.021422142,0.104941009,0.138544061,5555,11273,13050
29,Italy,2005,May,BMW,5 Series,H,1858,1029,1183,0.164950284,0.103282144,0.104941009,11264,9963,11273
30,Italy,2005,June,BMW,5 Series,H,31,1730,1029,0.00448885,0.119433897,0.103282144,6906,14485,9963
31,Italy,2005,July,BMW,5 Series,H,46,1078,1730,0.009766454,0.079604194,0.119433897,4710,13542,14485
32,Italy,2005,August,BMW,5 Series,H,4,423,1078,0.002688172,0.070406125,0.079604194,1488,6008,13542
33,Italy,2005,September,BMW,5 Series,H,3,1252,423,0.00144023,0.098536125,0.070406125,2083,12706,6008
34,Italy,2005,October,BMW,5 Series,H,1914,1216,1252,0.190201729,0.094807422,0.098536125,10063,12826,12706
35,Italy,2005,November,BMW,5 Series,H,475,1115,1216,0.14446472,0.090562053,0.094807422,3288,12312,12826
36,Italy,2005,December,BMW,5 Series,H,605,1214,1115,0.200796548,0.120067253,0.090562053,3013,10111,12312
37,Italy,2006,January,BMW,5 Series,H,448,1118,1214,0.071668533,0.066496164,0.120067253,6251,16813,10111
38,Italy,2006,February,BMW,5 Series,H,191,1242,1118,0.021596563,0.092102336,0.066496164,8844,13485,16813
39,Italy,2006,March,BMW,5 Series,H,2401,1992,1242,0.163879599,0.123519563,0.092102336,14651,16127,13485
40,Italy,2006,April,BMW,5 Series,H,35,988,1992,0.005501415,0.083842498,0.123519563,6362,11784,16127
41,Italy,2006,May,BMW,5 Series,H,52,1216,988,0.008933173,0.076133233,0.083842498,5821,15972,11784
42,Italy,2006,June,BMW,5 Series,H,275,1546,1216,0.052631579,0.102724252,0.076133233,5225,15050,15972
43,Italy,2006,July,BMW,5 Series,H,265,862,1546,0.087285903,0.064218133,0.102724252,3036,13423,15050
44,Italy,2006,August,BMW,5 Series,H,21,319,862,0.00872093,0.052200949,0.064218133,2408,6111,13423
45,Italy,2006,September,BMW,5 Series,H,34,1266,319,0.005372097,0.102743061,0.052200949,6329,12322,6111
46,Italy,2006,October,BMW,5 Series,H,96,838,1266,0.014976599,0.067498993,0.102743061,6410,12415,12322
47,Italy,2006,November,BMW,5 Series,H,437,916,838,0.076868953,0.070127086,0.067498993,5685,13062,12415
48,Italy,2006,December,BMW,5 Series,H,367,848,916,0.109486874,0.087821044,0.070127086,3352,9656,13062
49,Italy,2007,January,BMW,5 Series,H,414,681,848,0.109004739,0.044120505,0.087821044,3798,15435,9656
50,Italy,2007,February,BMW,5 Series,H,37,719,681,0.005309989,0.055282177,0.044120505,6968,13006,15435
51,Italy,2007,March,BMW,5 Series,H,2215,1291,719,0.230058164,0.080371039,0.055282177,9628,16063,13006
52,Italy,2007,April,BMW,5 Series,H,59,901,1291,0.010952293,0.07430315,0.080371039,5387,12126,16063
53,Italy,2007,May,BMW,5 Series,H,329,1098,901,0.033544046,0.07487725,0.07430315,9808,14664,12126
54,Italy,2007,June,BMW,5 Series,H,1897,1120,1098,0.272205481,0.077680677,0.07487725,6969,14418,14664
55,Italy,2007,July,BMW,5 Series,H,100,752,1120,0.04492363,0.060562133,0.077680677,2226,12417,14418
56,Italy,2007,August,BMW,5 Series,H,85,298,752,0.087001024,0.048329549,0.060562133,977,6166,12417
57,Italy,2007,September,BMW,5 Series,H,2038,777,298,0.517390201,0.071612903,0.048329549,3939,10850,6166
58,Italy,2007,October,BMW,5 Series,H,28,725,777,0.007312614,0.064871152,0.071612903,3829,11176,10850
59,Italy,2007,November,BMW,5 Series,H,151,870,725,0.0203367,0.079510144,0.064871152,7425,10942,11176
60,Italy,2007,December,BMW,5 Series,H,124,889,870,0.023436023,0.097084198,0.079510144,5291,9157,10942
61,Italy,2008,January,BMW,5 Series,H,35,601,889,0.004580552,0.047133558,0.097084198,7641,12751,9157
62,Italy,2008,February,BMW,5 Series,H,2687,791,601,0.300223464,0.061265587,0.047133558,8950,12911,12751
63,Italy,2008,March,BMW,5 Series,H,433,889,791,0.061742478,0.069856986,0.061265587,7013,12726,12911
64,Italy,2008,April,BMW,5 Series,H,679,633,889,0.12183743,0.056730597,0.069856986,5573,11158,12726
65,Italy,2008,May,BMW,5 Series,H,448,587,633,0.033256625,0.050128096,0.056730597,13471,11710,11158
66,Italy,2008,June,BMW,5 Series,H,9,669,587,0.001235754,0.061012312,0.050128096,7283,10965,11710
67,Italy,2008,July,BMW,5 Series,H,4,423,669,0.002133333,0.03956229,0.061012312,1875,10692,10965
68,Italy,2008,August,BMW,5 Series,H,1,162,423,0.001259446,0.043211523,0.03956229,794,3749,10692
69,Italy,2008,September,BMW,5 Series,H,1,519,162,0.000206101,0.057666667,0.043211523,4852,9000,3749
70,Italy,2008,October,BMW,5 Series,H,6,351,519,0.000543774,0.038788816,0.057666667,11034,9049,9000
71,Italy,2008,November,BMW,5 Series,H,7,299,351,0.00068742,0.03819134,0.038788816,10183,7829,9049
72,Italy,2008,December,BMW,5 Series,H,3,419,299,0.000923361,0.056008555,0.03819134,3249,7481,7829
73,Italy,2009,January,BMW,5 Series,H,1,312,419,0.000128452,0.035919871,0.056008555,7785,8686,7481
74,Italy,2009,February,BMW,5 Series,H,2,420,312,0.000425351,0.053003534,0.035919871,4702,7924,8686
75,Italy,2009,March,BMW,5 Series,H,393,502,420,0.065077,0.048408872,0.053003534,6039,10370,7924
76,Italy,2009,April,BMW,5 Series,H,456,234,502,0.060071137,0.028030666,0.048408872,7591,8348,10370
77,Italy,2009,May,BMW,5 Series,H,11,367,234,0.001462571,0.040427407,0.028030666,7521,9078,8348
78,Italy,2009,June,BMW,5 Series,H,7,368,367,0.001322002,0.034957728,0.040427407,5295,10527,9078
79,Italy,2009,July,BMW,5 Series,H,1,191,368,0.000470146,0.020968273,0.034957728,2127,9109,10527
80,Italy,2009,August,BMW,5 Series,H,1,42,191,0.001267427,0.012808783,0.020968273,789,3279,9109
81,Italy,2009,September,BMW,5 Series,H,5,314,42,0.00295683,0.037019571,0.012808783,1691,8482,3279
82,Italy,2009,October,BMW,5 Series,H,737,364,314,0.206674145,0.046011882,0.037019571,3566,7911,8482
83,Italy,2009,November,BMW,5 Series,H,543,316,364,0.071353482,0.045194508,0.046011882,7610,6992,7911
84,Italy,2009,December,BMW,5 Series,H,501,407,316,0.264799154,0.063544106,0.045194508,1892,6405,6992
85,Italy,2010,January,BMW,5 Series,H,14,257,407,0.003868472,0.031580241,0.063544106,3619,8138,6405
86,Italy,2010,February,BMW,5 Series,H,1518,489,257,0.277412281,0.065549598,0.031580241,5472,7460,8138
