Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
2012	Athletics	10000m Men	Mo FARAH	GBR	Great Britain	Gold	1650.42
2012	Athletics	10000m Men	Galen RUPP	USA	United States of America	Silver	1650.90
2012	Athletics	10000m Men	Tariku BEKELE	ETH	Ethiopia	Bronze	1651.43
2012	Athletics	10000m Women	Tirunesh DIBABA	ETH	Ethiopia	Gold	1820.75
2012	Athletics	10000m Women	Sally Jepkosgei KIPYEGO	KEN	Kenya	Silver	1826.37
2012	Athletics	10000m Women	Vivian CHERUIYOT	KEN	Kenya	Bronze	1830.44
2012	Athletics	100m Hurdles Women	Sally PEARSON	AUS	Australia	Gold	12.35
2012	Athletics	100m Hurdles Women	Dawn HARPER	USA	United States of America	Silver	12.37
2012	Athletics	100m Hurdles Women	Kellie WELLS	USA	United States of America	Bronze	12.48
2012	Athletics	100m Men	Usain BOLT	JAM	Jamaica	Gold	9.63
2012	Athletics	100m Men	Yohan BLAKE	JAM	Jamaica	Silver	9.75
2012	Athletics	100m Men	Justin GATLIN	USA	United States of America	Bronze	9.79
2012	Athletics	100m Women	Shelly-Ann FRASER-PRYCE	JAM	Jamaica	Gold	10.75
2012	Athletics	100m Women	Carmelita JETER	USA	United States of America	Silver	10.78
2012	Athletics	100m Women	Veronica CAMPBELL-BROWN	JAM	Jamaica	Bronze	10.81
2012	Athletics	110m Hurdles Men	Aries MERRITT	USA	United States of America	Gold	12.92
2012	Athletics	110m Hurdles Men	Jason RICHARDSON	USA	United States of America	Silver	13.04
2012	Athletics	110m Hurdles Men	Hansle PARCHMENT	JAM	Jamaica	Bronze	13.12
2012	Athletics	1500m Men	Taoufik MAKHLOUFI	ALG	Algeria	Gold	214.08
2012	Athletics	1500m Men	Leonel MANZANO	USA	United States of America	Silver	214.79
2012	Athletics	1500m Men	Abdalaati IGUIDER	MAR	Morocco	Bronze	215.13
2012	Athletics	1500m Women	Asli CAKIR ALPTEKIN	TUR	Turkey	Gold	250.23
2012	Athletics	1500m Women	Gamze BULUT	TUR	Turkey	Silver	250.40
2012	Athletics	1500m Women	Maryam yusuf JAMAL	BRN	Bahrain	Bronze	250.74
2012	Athletics	200m Men	Usain BOLT	JAM	Jamaica	Gold	19.32
2012	Athletics	200m Men	Yohan BLAKE	JAM	Jamaica	Silver	19.44
2012	Athletics	200m Men	Warren WEIR	JAM	Jamaica	Bronze	19.84
2012	Athletics	200m Women	Allyson FELIX	USA	United States of America	Gold	21.88
2012	Athletics	200m Women	Shelly-Ann FRASER-PRYCE	JAM	Jamaica	Silver	22.09
2012	Athletics	200m Women	Carmelita JETER	USA	United States of America	Bronze	22.14
2012	Athletics	20km Walk Men	Ding CHEN	CHN	China	Gold	4726.00
2012	Athletics	20km Walk Men	Erick BARRONDO	GUA	Guatemala	Silver	4737.00
2012	Athletics	20km Walk Men	Zhen WANG	CHN	China	Bronze	4765.00
2012	Athletics	20km Walk Women	Elena LASHMANOVA	RUS	Russia	Gold	5102.00
2012	Athletics	20km Walk Women	Olga KANISKINA	RUS	Russia	Silver	5109.00
2012	Athletics	20km Walk Women	Shenjie QIEYANG	CHN	China	Bronze	5116.00
2012	Athletics	3000m Steeplechase Men	Ezekiel KEMBOI	KEN	Kenya	Gold	498.56
2012	Athletics	3000m Steeplechase Men	Mahiedine MEKHISSI-BENABBAD	FRA	France	Silver	499.08
2012	Athletics	3000m Steeplechase Men	Abel Kiprop MUTAI	KEN	Kenya	Bronze	499.73
2012	Athletics	3000m Steeplechase Women	Yuliya ZARIPOVA	RUS	Russia	Gold	546.72
2012	Athletics	3000m Steeplechase Women	Habiba GHRIBI	TUN	Tunisia	Silver	548.37
2012	Athletics	3000m Steeplechase Women	Sofia ASSEFA	ETH	Ethiopia	Bronze	549.84
2012	Athletics	400m Hurdles Men	Felix SANCHEZ	DOM	Dominican Republic	Gold	47.63
2012	Athletics	400m Hurdles Men	Michael TINSLEY	USA	United States of America	Silver	47.91
2012	Athletics	400m Hurdles Men	Javier CULSON	PUR	Puerto Rico	Bronze	48.1
2012	Athletics	400m Hurdles Women	Natalya ANTYUKH	RUS	Russia	Gold	52.7
2012	Athletics	400m Hurdles Women	Lashinda DEMUS	USA	United States of America	Silver	52.77
2012	Athletics	400m Hurdles Women	Zuzana HEJNOVA	CZE	Czech Republic	Bronze	53.38
2012	Athletics	400m Men	Kirani JAMES	GRN	Grenada	Gold	43.94
2012	Athletics	400m Men	Luguelin SANTOS	DOM	Dominican Republic	Silver	44.46
2012	Athletics	400m Men	Lalonde GORDON	TTO	Trinidad and Tobago	Bronze	44.52
2012	Athletics	400m Women	Sanya RICHARDS-ROSS	USA	United States of America	Gold	49.55
2012	Athletics	400m Women	Christine OHURUOGU	GBR	Great Britain	Silver	49.7
