Athlete	CountryCode	Medals
aage larsen, ebbe parsner	DEN	1
aaron peirsol	USA	5
aaron peirsol, michael phelps, jason lezak, ian crocker, brendan hansen, matt grevers, mark gangloff, garrett weber-gale	USA	1
a b bailey, phil boyd, george strange, pat reiffenstein, colonel rice, thomas loudon, donald mackenzie, william wadsworth, joseph wright	CAN	1
abdalaati iguider	MAR	1
abdon pamich	ITA	2
abdoulaye seye	FRA	1
abebe bikila	ETH	2
abel kiprop mutai	KEN	1
abel kirui	KEN	1
abel kiviat	USA	1
achim hill	GER	2
ada kok	NED	2
adalberts bubenko	LAT	1
adamski, kuffner, johannesen, reinelt, schmidt, mueller, mennigen, wilke, sauer	GER	1
adam van koeverden	CAN	4
addis abebe	ETH	1
adolph kiefer	USA	1
adriana bazon-chelariu, lulia bobeica, elena georgescu, viorica lepadatu, viorica neculai, ioana olteanu, maria paduraru, doina robu	ROM	1
adrian moorhouse	GBR	1
agnes geraghty	USA	1
agneta andersson	SWE	1
agneta andersson, anna olsson	SWE	1
agneta andersson, ingela ericsson, susanne rosenqvist, anna olsson	SWE	1
agneta andersson, susanne gunnarsson-wiberg	SWE	1
agneta andersson, susanne gunnarsson-wiberg, eva karlsson, anna olsson	SWE	1
agnieszka czopek	POL	1
agostino abbagnale, davide tizzano	ITA	1
ahmed salah	DJI	1
aigars fadejevs	LAT	1
aileen meagher, mildred dolson, hilda cameron, dorothy brookshaw	CAN	1
aileen riggin	USA	1
aina berg, wivan pettersson, gurli everlund, hj?rdis t?pel	SWE	1
ai shibata	JPN	1
aissa djabir said-guerni	ALG	1
akos vereckei, botond storcz, zoltan kammerer, g?bor horv?th	HUN	1
alain bernard	FRA	2
alain lebas	FRA	1
alain mimoun	FRA	4
alain mosconi	FRA	1
alajos szokolyi	HUN	1
alan campbell	GBR	1
alan ford	USA	1
alan grover, alfred duval, joseph fazio, peter dickson, david douglas, robert shirlaw, michael morgan, gary pearce, john ranch	AUS	1
alan mcclatchey, brian brinkley, gordon downie, david dunne	GBR	1
alan pascoe, martin reynolds, david jenkins, david hemery	GBR	1
alan thompson	NZL	1
albert coray	USA	1
albert hill	GBR	2
alberto cova	ITA	1
alberto demiddi	ARG	2
alberto juantorena	CUB	2
alberto zorrilla	ARG	1
albert schwartz	USA	1
albert vandeweghe	USA	1
albina osipowich	USA	1
albin lermusiaux	FRA	1
albin stenroos	FIN	2
alb?n vermes	HUN	1
alejandro casa?as	CUB	2
aleksandra fedoriva, yulia gushchina, yuliya chermoshanskaya, evgeniya polyakova	RUS	1
aleksandra gerasimenya	BLR	2
aleksandr anufriyev	URS	1
aleksandr berkutov, yury tyukalov	URS	2
aleksandr chayev	URS	1
aleksandr lukyanov, viktor omelyanovich, vasily tikhonov, andrey vasilyev, aleksandr dumchev, viktor diduk, veniamin but, nikolay komarov, pavel gurkovsky	URS	1
aleksandr maseykov, dmitry dovgalenok	URS	1
aleksandr popov	RUS	3
aleksandr popov	URS	2
aleksandr puchkov	URS	1
aleksandr rogov	URS	1
aleksandr shaparenko	URS	2
aleksandr sidorenko	URS	1
aleksandr silayev	URS	1
aleksandr vinogradov, sergey petrenko	URS	1
aleksey kudryavtsev, dmitry lepikov, vladimir pyshnenko, yury mukhin, veniamin tayanovich, yevgeny sadovyi	URS	1
aleksey voyevodin	RUS	1
alessandro lambruschini	ITA	1
alessia filippi	ITA	1
alessio sartori, romano battisti	ITA	1
alessio sartori, rossano galtarossa	ITA	1
alexander daleoen	NOR	1
alexander kostoglod, alexander kovalev	RUS	2
alexander luderitz, mark pinger, bengt zikarsky, bj?rn zikarsky, christian tr?ger	GER	1
alexander mcculloch	GBR	1
alexander wilson	CAN	2
alexander wilson, raymond lewis, james ball, philip edwards	CAN	1
alexander wilson, stanley glover, philip edwards, james ball	CAN	1
alexandra barr?, sue holloway	CAN	1
alexandra tsiavou, christina giazitzidou	GRE	1
alexandre jany, aldo eminente, jean boiteux, joseph bernardo	FRA	1
alexandre jany, henri padou, ren? cornu, joseph bernardo	FRA	1
alex baumann	CAN	2
alexe dumitru, simion ismailciuc	ROM	1
alexey korovashkov, ilya pervukhin	RUS	1
alex schwazer	ITA	1
alf hansen, frank hansen	NOR	1
alf hansen, lars bj?nness, vetle vinje, rolf thorsen	NOR	1
alfons dorfner, adolf kainz	AUT	1
alfr?d haj?s	HUN	1
alfred bachmann, heinrich fischer	SUI	1
alfred dompert	GER	1
alfred healey	GBR	1
alfred sageder, josef kloimstein	AUT	1
alfred tysoe	GBR	1
alfred wilson, howard kingsbury, leonard carpenter, john miller, al lindley, james rockefeller, benjamin spock, laurence stoddard, frederick sheffield	USA	1
alfred yego	KEN	1
aliaksandr bahdanovich, andrei bahdanovich	BLR	2
aliaksei abalmasau, raman piatrushenka, vadzim makhneu, artur litvinchuk	BLR	1
alice bridges	USA	1
alice brown	USA	1
alice mills, petria thomas, giaan rooney, brooke hanson, jodie henry, leisel jones, jessicah schipper	AUS	1
alicia coutts	AUS	2
ali ezzine	MAR	1
ali saidi-sief	ALG	1
allan lawrence	AUS	1
allan wells	GBR	2
allan wood	AUS	2
allen johnson	USA	1
allen stack	USA	1
allen woodring	USA	1
allison schmitt	USA	2
allison wagner	USA	1
allyson felix	USA	3
allyson felix, deedee trotter, sanya richards-ross, francena mccorory	USA	1
allyson felix, tianna madison, bianca knight, carmelita jeter	USA	1
alonzo babers	USA	1
alva colqhoun, lorraine crapp, dawn fraser, ilsa konrads	AUS	1
alvah meyer	USA	1
alvin harrison	USA	1
alvin harrison, derek mills, lamont smith, anthuan maybank	USA	1
alvin kraenzlein	USA	1
alwyn morris, hugh fisher	CAN	1
amadou dia b?	SEN	1
amanda beard	USA	5
amaury leveaux	FRA	1
amaury leveaux, clement lefert, gregory mallet, yannick agnel	FRA	1
ambrose gaines	USA	1
amos biwott	KEN	1
amy van dyken	USA	2
amy van dyken, jenny thompson, angel martino, kristine quance, catherine fox, amanda beard, beth botsford, whitney hedgepeth	USA	1
amy white	USA	1
ana guevara	MEX	1
ana quirot	CUB	2
anastasia zueva	RUS	1
anatoly grishin, nikolay chuzhikov, vyacheslav ionov, vladimir morozov	URS	1
anatoly mikhaylov	URS	1
anatoly sass, aleksandr timoshinin	URS	1
anca patrascoiu	ROM	1
anders g?rderud	SWE	1
anders holmertz	SWE	3
anders holmertz, lars fr?lander, tommy werner, christer wallin	SWE	1
andrea gyarmati	HUN	2
andrea pollack	GDR	3
andrea pollack, claudia hempel, kornelia ender, petra priemer	GDR	1
andrea pollack, hannelore anke, kornelia ender, ulrike richter	GDR	1
andreas dittmer	GER	4
andreas dittmer, gunar kirchbach	GER	1
andreas hajek, andr? steiner, stephan volkert, andr? willms	GER	1
andreas ihle, martin hollstein	GER	1
