Athlete	CountryName	CountryCode	Gender	Sport	Medals	Appearances
aage larsen, ebbe parsner	Denmark	DEN	Male	Rowing	1	1
aaron peirsol	United States of America	USA	Male	Swimming	5	3
aaron peirsol, michael phelps, jason lezak, ian crocker, brendan hansen, matt grevers, mark gangloff, garrett weber-gale	United States of America	USA	Male	Swimming	1	1
a b bailey, phil boyd, george strange, pat reiffenstein, colonel rice, thomas loudon, donald mackenzie, william wadsworth, joseph wright	Canada	CAN	Male	Rowing	1	1
abdalaati iguider	Morocco	MAR	Male	Athletics	1	1
abdon pamich	Italy	ITA	Male	Athletics	2	2
abdoulaye seye	France	FRA	Male	Athletics	1	1
abebe bikila	Ethiopia	ETH	Male	Athletics	2	2
abel kiprop mutai	Kenya	KEN	Male	Athletics	1	1
abel kirui	Kenya	KEN	Male	Athletics	1	1
abel kiviat	United States of America	USA	Male	Athletics	1	1
achim hill	Germany	GER	Male	Rowing	2	2
ada kok	Netherlands	NED	Female	Swimming	2	2
adalberts bubenko	Latvia	LAT	Male	Athletics	1	1
adamski, kuffner, johannesen, reinelt, schmidt, mueller, mennigen, wilke, sauer	Germany	GER	Male	Rowing	1	1
adam van koeverden	Canada	CAN	Male	Canoeing	4	3
addis abebe	Ethiopia	ETH	Male	Athletics	1	1
adolph kiefer	United States of America	USA	Male	Swimming	1	1
adriana bazon-chelariu, lulia bobeica, elena georgescu, viorica lepadatu, viorica neculai, ioana olteanu, maria paduraru, doina robu	Romania	ROM	Female	Rowing	1	1
adrian moorhouse	Great Britain	GBR	Male	Swimming	1	1
agnes geraghty	United States of America	USA	Female	Swimming	1	1
agneta andersson	Sweden	SWE	Female	Canoeing	1	1
agneta andersson, anna olsson	Sweden	SWE	Female	Canoeing	1	1
agneta andersson, ingela ericsson, susanne rosenqvist, anna olsson	Sweden	SWE	Female	Canoeing	1	1
agneta andersson, susanne gunnarsson-wiberg	Sweden	SWE	Female	Canoeing	1	1
agneta andersson, susanne gunnarsson-wiberg, eva karlsson, anna olsson	Sweden	SWE	Female	Canoeing	1	1
agnieszka czopek	Poland	POL	Female	Swimming	1	1
agostino abbagnale, davide tizzano	Italy	ITA	Male	Rowing	1	1
ahmed salah	Djibouti	DJI	Male	Athletics	1	1
