Athlete	CountryCode	Sport	Medals
aage larsen, ebbe parsner	DEN	Rowing	1
aaron peirsol	USA	Swimming	5
aaron peirsol, michael phelps, jason lezak, ian crocker, brendan hansen, matt grevers, mark gangloff, garrett weber-gale	USA	Swimming	1
a b bailey, phil boyd, george strange, pat reiffenstein, colonel rice, thomas loudon, donald mackenzie, william wadsworth, joseph wright	CAN	Rowing	1
abdalaati iguider	MAR	Athletics	1
abdon pamich	ITA	Athletics	2
abdoulaye seye	FRA	Athletics	1
abebe bikila	ETH	Athletics	2
abel kiprop mutai	KEN	Athletics	1
abel kirui	KEN	Athletics	1
abel kiviat	USA	Athletics	1
achim hill	GER	Rowing	2
ada kok	NED	Swimming	2
adalberts bubenko	LAT	Athletics	1
adamski, kuffner, johannesen, reinelt, schmidt, mueller, mennigen, wilke, sauer	GER	Rowing	1
adam van koeverden	CAN	Canoeing	4
addis abebe	ETH	Athletics	1
adolph kiefer	USA	Swimming	1
adriana bazon-chelariu, lulia bobeica, elena georgescu, viorica lepadatu, viorica neculai, ioana olteanu, maria paduraru, doina robu	ROM	Rowing	1
adrian moorhouse	GBR	Swimming	1
agnes geraghty	USA	Swimming	1
agneta andersson	SWE	Canoeing	1
agneta andersson, anna olsson	SWE	Canoeing	1
agneta andersson, ingela ericsson, susanne rosenqvist, anna olsson	SWE	Canoeing	1
agneta andersson, susanne gunnarsson-wiberg	SWE	Canoeing	1
agneta andersson, susanne gunnarsson-wiberg, eva karlsson, anna olsson	SWE	Canoeing	1
agnieszka czopek	POL	Swimming	1
agostino abbagnale, davide tizzano	ITA	Rowing	1
ahmed salah	DJI	Athletics	1
aigars fadejevs	LAT	Athletics	1
aileen meagher, mildred dolson, hilda cameron, dorothy brookshaw	CAN	Athletics	1
aileen riggin	USA	Swimming	1
aina berg, wivan pettersson, gurli everlund, hj?rdis t?pel	SWE	Swimming	1
ai shibata	JPN	Swimming	1
aissa djabir said-guerni	ALG	Athletics	1
akos vereckei, botond storcz, zoltan kammerer, g?bor horv?th	HUN	Canoeing	1
alain bernard	FRA	Swimming	2
alain lebas	FRA	Canoeing	1
alain mimoun	FRA	Athletics	4
alain mosconi	FRA	Swimming	1
alajos szokolyi	HUN	Athletics	1
alan campbell	GBR	Rowing	1
