pnum,firm,year, performance,inv_num,lastname,cntries
6417100,AMD,2002,2,05736423-1;04294002-2;04954459-1,NGO; WANG; AVANZINO,US;US;US
6415975,AMD,2002,1,06193134-1;06028350-1,VIJCHULATA; SABYEYING,TH;TH
6400160,AMD,2002,8,06400160-1,SAMPATH,SG
6400030,AMD,2002,1,05468340-3;05376573-3;04370405-3;05625231-1;04581815-1,HUI; WANG; CHANG; HUANG; CHEUNG,US;US;US;US;US
6400023,AMD,2002,16,05625231-1,HUANG,US
6399984,AMD,2002,1,03865654-1;05888898-6;05624859-2;05920786-1;06284600-1;05470773-2,CHANG; YANG; RAMSBEY; PHAM; WU; SUN,US;US;US;US;US;US
6399902,AMD,2002,2,06231229-1;06333253-1,HALDERMAN; BROWNFIELD,US;US
6399519,AMD,2002,2,04894353-1,IBOK,US
6399958,AMD,2002,0,06127194-2,MASSOODI,US
6399505,AMD,2002,6,05882498-2,NOGAMI,US
6399493,AMD,2002,3,05986344-3;05770482-3;05442175-1,PELLERIN; CHEEK; DAWSON,US;US;US
6399480,AMD,2002,2,03933860-1;05442638-3;05376573-3;05736423-1;05895269-5,CHAN; FOOTE; WANG; NGO; EN,US;US;US;US;US
6415243,AMD,2002,6,05465977-1,MANN,US
6399474,AMD,2002,1,04771018-2,TOSAYA,US
6399469,AMD,2002,14,05880511-1,YU,US
6399467,AMD,2002,5,06048790-2;06350696-2,PATON; ERHARDT,US;US
6399450,AMD,2002,10,05880511-1,YU,US
6399452,AMD,2002,8,05960322-3;05073506-1,KRISHNAN; MASZARA,US;US
6399446,AMD,2002,3,05855837-2;05442638-3;06030901-1;05376573-3;05780204-4;04370405-3;05624859-2;06100559-1,RANGARAJAN; FOOTE; HOPPER; WANG; THOMAS; CHANG; RAMSBEY; PARK,US;US;US;US;US;US;US;US
6399427,AMD,2002,1,05880511-1,YU,US
6399401,AMD,2002,1,04789760-3;06399401-1,LEVINSON; KYE,US;US
6399284,AMD,2002,0,04379830-2,LYONS,US
6397326,AMD,2002,2,06212565-1;06223280-1,GUPTA; HORTON,US;US
6415348,AMD,2002,8,05881248-1;06151658-1;05561384-2;05850571-3,MERGARD; MAGRO; QUIMBY; MEHTA,US;US;US;US
6397313,AMD,2002,9,06125055-2;04803665-1,WANG; KASA,US;US
6397239,AMD,2002,24,06115732-3;06298367-4;05918062-2;05745732-1;05918062-1,WEBER; RAMANI; JUFFA; CHERUKURI; OBERMAN,US;US;US;US;US
6397238,AMD,2002,6,05055999-6;06026483-3;05918062-2;05745732-1;05918062-1,WEBER; SIU; JUFFA; CHERUKURI; OBERMAN,US;US;US;US;US
6397225,AMD,2002,4,06349341-1;06334122-1,LIKES; BROWN,US;US
6396749,AMD,2002,10,06215705-1;05263000-4,AL SHAMMA; CLEVELAND,US;US
6396296,AMD,2002,71,06384618-3;05108536-3,DO; TARTER,US;US
6396258,AMD,2002,0,06388457-3;06396258-2;06124559-1,KOH; LIM; HENG,SG;SG;SG
6396108,AMD,2002,83,04622576-1;05212106-2,BUYNOSKI; KRIVOKAPIC,US;US
6396103,AMD,2002,4,06225229-1;06229184-1,HUSTER; RICCOBENE,US;US
6395654,AMD,2002,6,05132252-1;05888898-6;05624859-2;06284600-1,SHIRAIWA; YANG; RAMSBEY; WU,US;US;US;US
6414600,AMD,2002,1,06414600-2;06414600-3;06414600-1,RATANAVARINCHAI; SUGASI; PLUKPHONGRAT,TH;TH;TH
6396059,AMD,2002,5,05037506-2;05977542-3;05958744-2,SINGH; CHOO; YEDUR,US;US;US
6395644,AMD,2002,3,05442638-3;06030901-1;05736423-1,FOOTE; HOPPER; NGO,US;US;US
6395609,AMD,2002,0,05880511-1,YU,US
6395606,AMD,2002,8,06225229-1;05316969-1;06008094-2,HUSTER; ISHIDA; MILIC,US;US;US
6395589,AMD,2002,14,05880511-1,YU,US
6395568,AMD,2002,3,06046507-1;06331735-3;05642311-5;04040897-1,HATCHARD; MORGAN; FLIESLER; BLISH,US;US;US;US
6395567,AMD,2002,1,05985753-1;05776811-3,YU; STEFFAN,US;US
6395129,AMD,2002,1,06384618-2;06030282-1,VU; MAHANPOUR,US;US
6395437,AMD,2002,0,04306916-1,WOLLESEN,US
6394481,AMD,2002,4,06390157-1;06371715-3;06390157-3,MOOGDAHARN; PINLAM; BUPPARIT,TH;TH;TH
6414355,AMD,2002,22,05880511-1;05985726-2;05895269-5,YU; AN; EN,US;US;US
6395100,AMD,2002,3,05679605-1;06395100-2,BRENNAN; RIVERA,US;US
6393555,AMD,2002,27,05055999-6;05918062-2;05668732-4;05918062-1,WEBER; JUFFA; MEIER; OBERMAN,US;US;US;US
6393554,AMD,2002,1,06026483-3;05745732-1;05918062-1,SIU; CHERUKURI; OBERMAN,US;US;US
6393549,AMD,2002,7,04731737-1;04940908-1,WITT; TRAN,US;US
6393548,AMD,2002,12,05953335-4;05903918-3;05991305-1;05903521-1,KERSTEIN; KIZHEPAT; SIMMONS; RELPH,US;US;US;US
6393536,AMD,2002,15,05752069-1;05813035-2,ROBERTS; HUGHES,US;US
6393546,AMD,2002,6,04731737-1;04755936-3,WITT; KELLER,US;US
6393531,AMD,2002,8,06046952-2;05809522-1,PECK JR; NOVAK,US;US
6393529,AMD,2002,10,04755936-3,KELLER,US
6393502,AMD,2002,11,04556567-1;05638798-6,MEYER; MADRID,US;US
6414326,AMD,2002,1,05969807-2,NGUYEN,US
6393109,AMD,2002,1,06252755-1,WILLER,DE
6393028,AMD,2002,8,06091707-3,LEUNG,US
6393021,AMD,2002,32,05400322-2;05027008-1,CHOW; RUNALDUE,US;US
6392403,AMD,2002,3,05818018-3;06392403-4;05354413-3;06216948-2,COSS JR; CHRISTENSEN; CONBOY; SHIRLEY,US;US;US;US
6392280,AMD,2002,3,04622576-1;05582881-1;05866473-1,BUYNOSKI; BESSER; XIANG,US;US;US
6392251,AMD,2002,1,06392251-2;06392251-1,COOPER; MCCARTHY,US;US
6392432,AMD,2002,3,06392432-2;06392432-3;06392432-1,PHUNYAPHINUNT; BOUTNGAM; JAIMSOMPORN,TH;TH;TH
6392145,AMD,2002,4,06364669-1,ANDRIC,US
6391784,AMD,2002,7,04894353-1,IBOK,US
6391782,AMD,2002,39,05880511-1,YU,US
