cntry,ethnicity
US,english
JP,japanese
NL,european
CH,european
DE,european
IT,european
GB,english
AU,english
IE,english
IL,other
FR,european
CA,english
BE,european
SG,other
KR,korean
TW,chinese
NO,european
PH,other
IS,other
SE,european
IN,indian
ZA,european
JO,other
RU,russian
HK,chinese
CN,chinese
MY,chinese
TH,other
DK,european
EG,other
SN,other
UA,european
BR,hispanic
AT,european
GR,european
ES,hispanic
PL,european
MX,hispanic
NZ,english
IR,other
CR,european
JM,other
PT,hispanic
RO,european
