collab1,pnum
139,6417100
5,6415975
1,6400160
181,6400030
60,6400023
145,6399984
6,6399902
28,6399519
14,6399958
21,6399505
41,6399493
173,6399480
7,6415243
6,6399474
42,6399469
65,6399467
42,6399450
30,6399452
173,6399446
42,6399427
23,6399401
58,6399284
4,6397326
23,6415348
11,6397313
18,6397239
32,6397238
11,6397225
25,6396749
7,6396296
11,6396258
84,6396108
23,6396103
112,6395654
3,6414600
55,6396059
136,6395644
42,6395609
40,6395606
42,6395589
37,6395568
18,6395567
20,6395129
12,6395437
6,6394481
69,6414355
22,6395100
38,6393555
16,6393554
33,6393549
14,6393548
19,6393536
39,6393546
4,6393531
27,6393529
24,6393502
19,6414326
1,6393109
17,6393028
31,6393021
38,6392403
126,6392280
10,6392251
4,6392432
4,6392145
28,6391784
42,6391782
35,6414335
32,6391767
41,6391751
103,6391766
67,6391730
24,6391733
90,6391750
42,6391753
86,6391729
42,6391728
35,6391664
75,6413869
6,6390314
42,6391695
26,6389557
58,6391525
6,6390157
12,6389556
57,6389526
20,6389488
20,6389512
7,6388943
99,6413857
2,6389366
10,6388334
7,6388457
134,6388330
100,6388309
38,6388298
44,6387823
14,6387820
100,6387825
44,6387818
136,6413846
11,6387804
49,6387806
65,6387786
171,6387767
12,6387758
35,6387715
55,6387755
17,6387206
4,6386430
6,6385740
112,6417084
42,6413829
5,6385738
57,6385705
8,6385670
65,6385093
4,6385632
11,6384618
11,6384372
1,6384366
1,6384361
124,6383952
10,6413820
134,6383950
69,6383945
133,6383947
148,6383925
27,6383939
114,6383906
103,6383919
42,6383904
10,6383888
137,6383880
21,6413390
36,6383874
40,6383872
40,6383827
5,6383843
7,6383824
3,6383822
11,6381841
8,6382395
25,6382500
33,6381689
49,6412498
25,6381683
25,6381672
32,6381625
41,6381550
85,6381179
38,6381163
1,6381016
15,6380806
12,6380724
6,6380618
7,6412641
177,6380588
35,6380589
42,6380590
39,6380625
39,6380554
50,6380556
77,6380091
172,6380067
74,6380055
121,6380057
38,6411859
112,6380047
42,6380043
39,6380041
114,6380040
42,6380038
88,6380033
11,6379216
68,6380029
73,6380019
32,6379980
10,6411378
6,6379036
3,6378538
12,6378076
17,6378023
18,6377898
44,6377488
1,6377665
14,6376880
180,6376389
56,6376877
23,6411069
48,6376350
126,6376343
67,6376341
65,6376336
29,6376323
79,6376330
42,6376320
12,6376312
113,6376309
98,6376308
129,6410956
16,6376286
26,6376267
19,6376261
1,6376265
82,6376013
35,6375347
2,6374675
7,6374399
16,6374375
15,6374345
55,6410967
28,6373126
27,6373113
85,6373103
69,6373053
171,6372673
41,6372668
42,6372659
27,6372651
103,6372635
16,6372644
112,6417082
67,6410949
103,6372631
36,6372627
99,6372614
13,6372590
42,6372589
74,6372588
59,6372587
42,6372584
58,6372582
25,6372577
46,6410938
42,6372561
53,6372563
22,6372544
35,6372529
10,6371715
23,6371310
2,6371135
110,6371134
19,6370680
1,6370785
10,6410927
7,6370660
26,6370642
38,6370637
27,6370621
24,6370607
31,6370600
6,6370575
23,6370065
48,6370061
