inv2,inv1
03859998-2,03859998-2
04357394-1,03859998-2
04533555-1,03859998-2
05065224-6,03859998-2
05346518-3,03859998-2
05473510-1,03859998-2
05491437-3,03859998-2
05675340-2,03859998-2
05922619-1,03859998-2
06023103-1,03859998-2
06856188-2,03859998-2
03860454-2,03860454-2
04731737-1,03860454-2
04940908-1,03860454-2
05491498-1,03860454-2
05590352-3,03860454-2
05757695-2,03860454-2
06034963-1,03860454-2
06424561-3,03860454-2
06493259-1,03860454-2
03860757-1,03860757-1
04056094-1,03860757-1
04658394-2,03860757-1
05622807-2,03860757-1
06062681-2,03860757-1
06091864-1,03860757-1
06452922-1,03860757-1
06586678-2,03860757-1
06852966-0,03860757-1
06852966-4,03860757-1
03860820-1,03860820-1
03912927-1,03860820-1
04100548-2,03860820-1
04423923-1,03860820-1
05119052-4,03860820-1
03860930-1,03860930-1
04811082-3,03860930-1
03860952-4,03860952-4
04753412-1,03860952-4
05373227-1,03860952-4
05729049-1,03860952-4
03860953-2,03860953-2
06185224-2,03860953-2
06614799-1,03860953-2
06798854-6,03860953-2
06804251-4,03860953-2
03861323-1,03861323-1
03912558-3,03861323-1
04019908-1,03861323-1
04119580-2,03861323-1
04160534-1,03861323-1
04175552-1,03861323-1
04677318-1,03861323-1
05001368-1,03861323-1
05128565-1,03861323-1
05138576-1,03861323-1
05317210-1,03861323-1
05555214-2,03861323-1
05638008-1,03861323-1
05693540-4,03861323-1
05754063-1,03861323-1
05949710-1,03861323-1
06025737-3,03861323-1
06538470-3,03861323-1
06629311-2,03861323-1
03861783-3,03861783-3
04294002-2,03861783-3
04581815-1,03861783-3
04884123-3,03861783-3
04932525-2,03861783-3
04954212-1,03861783-3
04954459-1,03861783-3
05037506-2,03861783-3
05376573-3,03861783-3
05468339-2,03861783-3
05582881-1,03861783-3
05597458-1,03861783-3
05625231-1,03861783-3
05662769-1,03861783-3
05686761-2,03861783-3
05858844-3,03861783-3
05985497-5,03861783-3
05986344-2,03861783-3
06015747-1,03861783-3
06063531-4,03861783-3
06074949-3,03861783-3
06086777-1,03861783-3
06208030-2,03861783-3
06309955-4,03861783-3
06500754-3,03861783-3
03862419-1,03862419-1
03892973-2,03862419-1
04040983-1,03862419-1
04469948-2,03862419-1
04640626-1,03862419-1
04701696-2,03862419-1
04748407-1,03862419-1
05051598-5,03862419-1
05847959-3,03862419-1
05900667-2,03862419-1
06011269-3,03862419-1
06188812-1,03862419-1
06259106-1,03862419-1
06291940-1,03862419-1
06538256-2,03862419-1
06563124-3,03862419-1
06828570-3,03862419-1
03862891-1,03862891-1
05301420-2,03862891-1
03863259-2,03863259-2
04249123-1,03863259-2
05119162-3,03863259-2
06137140-4,03863259-2
03863471-1,03863471-1
04149640-1,03863471-1
04283631-1,03863471-1
04919542-3,03863471-1
05352294-2,03863471-1
05788778-1,03863471-1
06176668-1,03863471-1
06213704-3,03863471-1
06825134-7,03863471-1
06896929-3,03863471-1
03864151-2,03864151-2
05702530-2,03864151-2
05702530-3,03864151-2
05728260-3,03864151-2
05728260-4,03864151-2
06145397-2,03864151-2
03865281-2,03865281-2
03865609-1,03865609-1
03878498-1,03865609-1
04338615-1,03865609-1
06414706-3,03865609-1
03865649-1,03865649-1
03865654-1,03865654-1
04370405-3,03865654-1
04460981-1,03865654-1
04534824-1,03865654-1
04566080-1,03865654-1
04774197-1,03865654-1
05128230-1,03865654-1
05132252-1,03865654-1
05263000-4,03865654-1
05335198-3,03865654-1
05376573-3,03865654-1
05391902-1,03865654-1
05468340-3,03865654-1
05470773-2,03865654-1
05511026-2,03865654-1
05521867-4,03865654-1
05533203-1,03865654-1
05546340-1,03865654-1
05602404-1,03865654-1
05624859-2,03865654-1
05625231-1,03865654-1
05638326-3,03865654-1
05656533-1,03865654-1
05736423-1,03865654-1
05801579-4,03865654-1
05844840-5,03865654-1
05856946-1,03865654-1
05888867-1,03865654-1
05888898-6,03865654-1
05907781-6,03865654-1
05920786-1,03865654-1
05940718-2,03865654-1
06005808-1,03865654-1
06005808-2,03865654-1
06027912-3,03865654-1
06130169-2,03865654-1
06166951-3,03865654-1
06198664-1,03865654-1
06266281-3,03865654-1
06271087-1,03865654-1
06284600-1,03865654-1
06311212-5,03865654-1
06346467-3,03865654-1
06436768-5,03865654-1
06445635-1,03865654-1
06445635-3,03865654-1
06461905-1,03865654-1
06469939-3,03865654-1
06475816-2,03865654-1
06566736-1,03865654-1
06613657-3,03865654-1
06628545-3,03865654-1
06697371-1,03865654-1
06735114-5,03865654-1
06735773-3,03865654-1
03866188-1,03866188-1
03866945-1,03866945-1
05132988-3,03866945-1
05285474-1,03866945-1
05644573-2,03866945-1
06014412-1,03866945-1
03867257-2,03867257-2
04042766-3,03867257-2
04520405-2,03867257-2
04583129-1,03867257-2
04929971-2,03867257-2
05021852-1,03867257-2
05862086-5,03867257-2
05869732-2,03867257-2
05970010-6,03867257-2
06038158-6,03867257-2
03867644-1,03867644-1
05760603-1,03867644-1
06079356-2,03867644-1
03867651-1,03867651-1
05079608-4,03867651-1
06777747-3,03867651-1
06777747-4,03867651-1
06777747-5,03867651-1
06798019-2,03867651-1
03868921-1,03868921-1
05726085-1,03868921-1
06326256-2,03868921-1
03869743-1,03869743-1
05148288-1,03869743-1
03870776-1,03870776-1
03870826-2,03870826-2
04933743-2,03870826-2
05957648-1,03870826-2
06605319-2,03870826-2
03870900-1,03870900-1
04728803-4,03870900-1
03871015-1,03871015-1
04973132-1,03871015-1
05101193-2,03871015-1
05264981-2,03871015-1
05410206-2,03871015-1
05826325-4,03871015-1
06658031-2,03871015-1
06779089-2,03871015-1
03871022-1,03871022-1
05481178-2,03871022-1
03871596-1,03871596-1
05129991-1,03871596-1
05234540-2,03871596-1
05785875-2,03871596-1
05855811-2,03871596-1
05939336-1,03871596-1
06511906-1,03871596-1
06541391-1,03871596-1
06790786-2,03871596-1
06790786-3,03871596-1
03873169-5,03873169-5
04979015-2,03873169-5
05083187-1,03873169-5
05256903-7,03873169-5
03873933-1,03873933-1
06104062-1,03873933-1
03874458-1,03874458-1
04542454-1,03874458-1
04807043-2,03874458-1
04941126-1,03874458-1
05400322-2,03874458-1
05483566-2,03874458-1
05507678-1,03874458-1
05533203-3,03874458-1
05598418-2,03874458-1
05774658-1,03874458-1
05811995-2,03874458-1
05852723-4,03874458-1
05860025-7,03874458-1
05953335-1,03874458-1
05953335-3,03874458-1
06011799-3,03874458-1
06047001-3,03874458-1
06091707-3,03874458-1
06401147-2,03874458-1
06442137-2,03874458-1
06442137-9,03874458-1
06564161-2,03874458-1
06594776-1,03874458-1
03874916-1,03874916-1
05083865-3,03874916-1
05667631-2,03874916-1
05844195-2,03874916-1
06106662-5,03874916-1
06132814-2,03874916-1
06195246-3,03874916-1
06831284-4,03874916-1
06831284-6,03874916-1
03876908-1,03876908-1
05861647-1,03876908-1
06292061-1,03876908-1
06429692-2,03876908-1
06489835-1,03876908-1
03877056-1,03877056-1
05034848-1,03877056-1
05272427-2,03877056-1
03878482-1,03878482-1
06295234-2,03878482-1
03865609-1,03878498-1
03878498-1,03878498-1
04028582-1,03878498-1
04338615-1,03878498-1
06414706-3,03878498-1
