inv_num,pnum_str
03859998-2,"6168974, 6023103, 6958723, 6350673, 6741085"
03860454-2,"6279101, 6256728, 6765901, 6298423, 6192462, 6532168, 6538918, 6850431, 6724654, 6493259"
03860757-1,"6880983, 6911599, 6868104, 6703561, 6852966"
03860820-1,6028692
03860930-1,6476470
03860952-4,"6690148, 6680874, 6954097, 6952462, 6931086, 6911807, 6842399, 6781419, 6777995, 6753675, 6750639, 6744281, 6119242, 6535032, 6470060, 6424178, 6201424, 6173432, 6801989, 6806754, 6362426, 6011732"
03860953-2,6804251
03861323-1,"6952114, 6876572, 6781409, 6604228, 6583646, 6472903, 6433585, 6377069, 6344758, 6342794, 6335635, 6269020, 6255850, 6252422, 6175952, 6147511, 6150840, 6118302, 6107854, 6724222, 6629311, 6563343, 6414518, 6025737, 6828620, 6573138, 6122209, 6661253"
03861783-3,"6380091, 6869878, 6831003, 6768204, 6756306, 6756303, 6689689, 6455425, 6454916, 6444567, 6319834, 6319819, 6207577, 6169034, 6140239, 6107186, 6048802, 6717266, 6500754, 6465889, 6383947, 6979625, 6727592, 6165855"
03862419-1,"6541770, 6924494, 6768117, 6720565, 6455863, 6392333, 6373071, 6563124, 6828570, 6476401, 6465795, 6515282"
03862891-1,"6857938, 6255180, 6221776"
03863259-2,6137140
03863471-1,"6896929, 6823589, 6772827, 6477980, 6746198"
03864151-2,"6267549, 6264852, 6248206, 6159297, 6062237, 6015761"
03865281-2,6226756
03865609-1,6414706
03865649-1,"6368920, 6051474"
03865654-1,"6399984, 6381179, 6356482, 6346467, 6906959, 6894925, 6885590, 6961267, 6787840, 6754105, 6750157, 6744668, 6806155, 6653189, 6645801, 6605511, 6701406, 6566194, 6549466, 6524914, 6510085, 6509604, 6492675, 6469939, 6429108, 6284600, 6266281, 6252803, 6252276, 6246610, 6160317, 6080639, 6525980, 6970392, 6445635, 6728249, 6708210, 6735773, 6947438, 6974995, 6853645, 6764929, 6808996, 6664191, 6509232, 6475847, 6455373, 6444530, 6444539, 6420752, 6266275, 6232646, 6248627"
03866188-1,"6717456, 6661255, 6476651, 6285245"
03866945-1,"6937623, 6639911, 6449324, 6408033, 6404830"
03867257-2,"6169698, 6097648, 6049499, 6038158, 6031779"
03867644-1,6842043
03867651-1,"6777747, 6798019"
03868921-1,"6977196, 6698082"
