pnum,med_inv_perf
6009753,20.5
6009757,5.0
6009827,11.5
6009830,9.84090909091
6010385,6.4375
6010603,16.6744186047
6010829,15.125
6010916,1.25
6010917,6.4375
6010929,13.875
6010930,4.0
6010932,8.32924203273
6010934,10.4268292683
6010935,12.4615384615
6010941,5.58333333333
6010949,8.09945804898
6010953,6.06578947368
6010957,8.02554690941
6010960,15.2448979592
6010961,5.65957446809
6010964,14.6
6010965,5.16071428571
6010966,32.8888888889
6010967,6.92657342657
6010969,21.4931506849
6011272,5.16666666667
6011279,14.1607142857
6011286,10.4268292683
6011289,7.53383458647
6011290,9.66679288148
6011297,7.0
6011307,7.86592705167
6011386,9.47111777944
6011406,14.5517241379
6011407,27.6315789474
6011408,6.0
6011415,5.0
6011418,4.57142857143
6011420,5.83333333333
6011427,4.0
6011431,10.4545454545
6011433,9.33333333333
6011440,15.5
6011501,15.4
6011619,9.0
6011622,7.29230769231
6011631,6.5
6011683,10.0
6011718,7.6
6011721,28.2727272727
6011727,8.30944712829
6011730,20.6923076923
6011731,4.33333333333
6011732,17.9515810277
6011736,5.89874353289
6011740,22.1555555556
6011742,15.4285714286
6011744,20.6923076923
6011770,2.66666666667
6011781,11.125
6011799,19.1764705882
6012103,16.225
6012111,9.40322580645
6012125,7.9347826087
6012136,10.0
6012142,15.5
6012224,13.6931524548
6012231,1.75
6012469,8.53125
6012502,14.3448275862
6012600,16.5
6012626,8.0
6012683,15.5
6012958,4.35632183908
6013156,3.92307692308
6013159,10.5284090909
6013315,27.8846153846
6013396,12.6923076923
6013399,14.5
6013535,7.07391941392
6013543,3.78427895981
6013546,9.89473684211
6013553,30.3846153846
6013554,3.5
6013557,8.09945804898
6013560,6.20895522388
6013566,10.2396126674
6013570,9.0
6013574,12.0
6013582,16.0
6013584,14.1666666667
6013932,9.0
6013943,3.79280821918
6013948,20.2453703704
6013949,19.2727272727
6014033,9.0
6014034,6.0
6014042,23.0
6014045,5.45833333333
6014048,24.5
6014055,14.0
6014062,5.09090909091
6014098,10.1228571429
6014128,10.5
6014332,8.04093567251
6014334,17.9962923729
6014336,15.0
6014461,31.0
6014717,4.0
6014719,11.8660714286
6014728,48.0
6014734,8.67327365729
6014739,14.7826086957
6014741,9.41176470588
6014759,12.8839285714
6014768,8.0
6014979,20.0
6015079,8.81057919622
6015280,2.30882352941
6015323,4.16666666667
6015463,3.0
6015465,32.0
6015476,9.0
6015591,14.0151515152
6015717,11.5882352941
6015718,4.0
6015729,6.42602495544
6015736,8.19143356643
6015739,9.89473684211
6015740,7.1875
6015752,11.6752365282
6015760,9.0
6015761,11.2954545455
6015977,29.3846153846
6015983,8.32584269663
6015986,5.56666666667
6015992,10.8299595142
6015997,8.64161849711
6015999,4.0
6016002,9.14285714286
6016004,13.9285714286
6016010,6.92307692308
6016012,29.0
6016019,3.33333333333
6016050,7.9
6016060,20.1382727152
6016062,8.875
6016063,22.1555555556
6016067,9.2
6016077,3.26666666667
6016131,11.3166666667
6016277,3.625
6016282,16.1304347826
6016308,12.9125
6016332,16.75
6016358,11.75
6016383,14.7857142857
6016384,2.66666666667
6016391,9.0
6016403,4.6
6016463,1.0
6016533,7.9347826087
6016537,2.5
6016538,10.8392857143
6016545,8.16666666667
6016554,11.63
6016555,15.65
6016561,8.44903926483
6017144,18.7692307692
6017453,3.33333333333
6017463,6.55555555556
6017772,2.75471698113
6017776,7.25641025641
6017782,3.08333333333
6017785,5.38461538462
6017786,2.94736842105
6017789,10.2706804161
6017802,9.66679288148
6017806,7.0
6017818,6.54545454545
6017827,7.62280701754
6017829,11.4059405941
6018173,4.0
6018175,2.71290322581
6018179,9.33707865169
6018180,9.33707865169
6018184,4.54545454545
6018236,16.1304347826
6018248,2.0
6018249,20.03117506
6018250,12.3888888889
6018251,6.0
6018253,6.5
6018269,8.23076923077
6018270,13.0
6018283,1.0
6018304,25.5
6018476,6.40972222222
6018490,12.5714285714
6018549,5.4
6018554,11.5
6018556,17.8541666667
6018616,19.75
6018624,29.8333333333
6018626,12.2666666667
6018643,18.0833333333
6018686,20.625
6018782,29.0
6018783,7.96
6018785,19.0
6018793,20.5
6018798,9.94447174447
6018808,4.0
6018811,8.35802469136
6019037,28.6666666667
6019496,8.125
6019539,8.66666666667
6019663,16.0833333333
6019670,30.0
6019671,14.9375
6019839,7.3
6019848,9.34523809524
6019886,5.3
6020035,10.1666666667
6020216,8.63333333333
6020218,31.125
6020220,57.7755102041
6020222,11.6
6020230,10.4268292683
6020232,9.66679288148
6020238,9.30125725338
6020240,10.4268292683
6020243,30.3846153846
6020247,28.1724137931
6020260,9.43884892086
6020269,11.0615079365
6020270,16.45
6020274,7.83720930233
6020511,17.2465753425
6020609,10.4268292683
6020621,10.4268292683
6020624,20.2453703704
6020629,28.5649717514
6020630,4.69047619048
6020633,11.0
6020640,25.880952381
6020683,3.96603970742
6020686,16.7776854928
6020699,5.2
6020756,27.6315789474
6020757,10.1111111111
6020758,17.9962923729
6020759,16.5357142857
6020760,20.6923076923
6020762,10.1333333333
6020775,9.0
6020776,17.9420289855
6020785,9.75
6020792,13.75
6020841,10.25
6020863,9.6
6021011,15.0
6021015,6.1
6021070,5.38235294118
6021074,4.11764705882
6021076,17.5849056604
6021084,3.84615384615
6021087,11.7142857143
6021133,13.8571428571
6021158,50.5
6021167,25.5
6021314,9.91666666667
6021423,8.72083333333
6021424,4.5
6021459,9.94594594595
6021471,23.5
6021498,6.0625
6021563,22.4583333333
6022052,1.33333333333
6022587,4.75
6022749,10.1052631579
6022750,19.9535675381
6022769,10.4268292683
6022783,8.84042553191
6022787,5.23255813953
6022799,7.83720930233
6022808,15.2448979592
6023038,11.25
6023084,1.5
6023085,6.47826086957
6023100,6.88095238095
6023103,61.1830985915
6023172,28.1666666667
6023176,2.0
6023181,7.875
6023262,12.5
6023266,12.5
6023327,5.68421052632
6023328,8.58181818182
6023336,4.33333333333
6023383,8.0
6023386,13.4977272727
6023405,10.5
6023427,9.47297297297
6023428,4.45454545455
6023429,4.14393939394
6023431,6.21212121212
6023432,10.1515151515
6023434,10.3215202876
6023435,4.2
6023439,12.5714285714
6023476,7.625
6023561,22.4210526316
6023564,22.1555555556
6023565,22.5
6023570,15.9411764706
6023587,12.575
6023610,20.4375
6023666,24.6957142857
6023738,26.1428571429
6023750,7.5
6023773,10.5555555556
6023777,7.5
6024285,16.5
6024393,11.0
6024620,3.15967365967
6024630,30.0
6024631,22.0
6024799,11.2321428571
6024801,29.358974359
6024826,15.3333333333
6024923,13.3076923077
6025087,7.18181818182
6025212,14.3448275862
6025215,5.21464646465
6025220,11.107398568
6025221,8.2
6025225,25.6038461538
6025228,9.30125725338
6025231,10.9411764706
6025232,6.55657640232
6025235,11.7619047619
6025236,5.76923076923
6025238,9.43884892086
6025240,10.3531144781
6025259,9.0
6025260,11.0
6025261,18.1535320948
6025262,11.8685243328
6025268,6.19047619048
6025269,11.107398568
6025271,5.58333333333
6025272,9.0
6025275,25.880952381
6025276,7.25832376579
6025278,3.83561643836
6025289,14.3333333333
6025589,11.5
6025600,18.0
6025615,8.33333333333
6025624,9.51219512195
6025627,26.4505617978
6025633,8.02554690941
6025635,11.7619047619
6025637,7.88095238095
6025728,19.8464698829
6025730,20.03117506
6025731,19.8464698829
6025737,12.9107142857
6025784,16.5
6025840,9.6
6025966,17.625
6026007,24.2222222222
6026031,5.08695652174
6026033,5.38235294118
6026040,4.78294573643
6026042,6.36399371069
6026050,12.6154336735
6026051,14.2386867791
6026130,14.0
6026134,12.4111111111
6026159,2.5
6026183,23.6666666667
6026226,29.2
6026357,10.4583333333
6026466,3.5
6026478,31.0
6026481,39.8157894737
6026482,8.80375494071
6026483,11.09375
6026484,7.0
6026496,13.1372093023
6026762,18.4017857143
6026896,11.5789473684
6027355,15.5
6027574,7.88461538462
6027601,17.3913043478
6027606,13.6
6027619,3.86363636364
6027672,14.0
6027790,2.73684210526
6027829,11.2755102041
6027859,6.4
6027860,5.75
6027865,10.0
6027958,14.0
6027959,9.04360465116
6027964,6.61224489796
6027967,8.32584269663
6027970,8.67715019255
6027973,6.77272727273
6027976,8.93096292197
6027978,6.61224489796
6027981,10.4268292683
6027984,8.64161849711
6027990,7.44580924855
6027992,8.93096292197
6027998,5.55812133072
6028002,8.64161849711
6028006,9.0
6028312,10.0
6028322,2.74358974359
6028345,5.3
6028348,4.33333333333
6028350,8.2
6028351,11.5
6028354,21.1176470588
6028365,20.1382727152
6028436,20.2453703704
6028444,11.0
6028445,36.8461538462
6028446,15.7142857143
6028448,4.78571428571
6028450,21.0
6028481,2.0
6028488,23.25
6028527,9.33333333333
6028576,7.28
6028591,16.25
6028690,86.6
6028692,15.0
6028727,12.5631578947
6028728,10.0454545455
6028752,11.0
6028763,3.83333333333
6028781,5.95833333333
6028784,15.6875
6028787,6.40972222222
6028798,8.04093567251
6028799,4.33333333333
6028806,9.85
6028808,12.5714285714
6028809,12.6303191489
6028811,8.69230769231
6028814,3.0
6028844,10.4166666667
6028891,12.3333333333
6028994,8.0
6029000,41.5
6029140,21.5
6029197,11.1686046512
6029215,10.075
6029228,19.4047619048
6029235,5.22916666667
6029236,16.0
6029239,10.0
6029241,3.33333333333
6029244,11.0944940476
6029250,16.1304347826
6029252,12.8839285714
6029344,61.3339735382
6029475,0.0
6029602,30.5
6029680,7.93571428571
6030172,0.75
6030224,0.0
6030267,3.86363636364
6030282,1.71428571429
6030423,7.15254237288
6030461,1.0
6030486,7.18518518519
6030491,21.4931506849
6030513,5.875
6030706,19.7166666667
6030711,2.93333333333
6030731,5.53333333333
6030752,8.74789915966
6030754,3.0
6030847,7.60159651669
6030856,14.4444444444
6030857,4.10344827586
6030859,5.0
6030860,6.61224489796
6030861,5.0
6030862,9.26315789474
6030864,5.9
6030868,5.82558139535
6030874,10.5526315789
6030875,6.4
6030891,6.95
6030898,7.28767123288
6030901,8.7616734143
6031217,11.5
6031263,25.2524848747
6031267,11.5106382979
6031269,7.28767123288
6031287,88.0714285714
6031289,7.31111111111
6031389,4.33653846154
6031391,40.4230769231
6031411,7.75
6031427,8.5
6031459,7.15254237288
6031473,6.66666666667
6031477,3.85714285714
6031480,9.66666666667
6031510,2.5
6031550,11.2
6031570,7.66666666667
6031727,6.43484848485
6031733,16.5255474453
6031763,6.27777777778
6031770,6.48780487805
6031777,9.0
6031779,9.2
6031821,16.5
6031868,12.3333333333
6031869,9.0
6031878,21.875
6031981,25.0
6032107,5.0
6032116,13.9285714286
6032159,6.0
6032170,12.25
6032171,7.625
6032201,10.0
6032204,7.5
6032211,14.6206896552
6032213,9.40322580645
6032214,20.4964959569
6032215,20.4964959569
6032220,10.5603853383
6032225,12.4214285714
6032247,20.9285714286
6032251,8.80375494071
6032252,16.5625
6032264,19.6458333333
6032268,7.54621848739
6032274,12.8839285714
6032284,16.95
6032356,60.6054381847
6032513,3.33333333333
6032850,20.3529411765
6033235,15.5
6033278,5.11933739013
6033290,13.0
6033478,12.9
6033479,2.0
6033480,10.0
6033482,7.71428571429
6033483,2.0
6033489,7.33333333333
6033515,9.5
6033541,8.05454545455
6033548,19.9535675381
6033584,7.83720930233
6033614,12.9975845411
6033814,15.402020202
6033919,13.7857142857
6033921,8.55135135135
6033922,8.5
6033931,13.0833333333
6033935,61.1830985915
6033938,8.0
6033943,9.43884892086
6033946,8.57058823529
6033953,9.42857142857
6033955,8.76923076923
6033964,9.0
6033975,4.125
6033982,14.5659529474
6033991,5.0
6033992,5.97368421053
6034000,5.0
6034356,11.6666666667
6034394,10.0299220273
6034395,11.5882352941
6034396,10.4268292683
6034411,7.10714285714
6034413,15.0357142857
6034417,4.38095238095
6034420,5.80952380952
6034429,24.0925925926
6034440,11.1489361702
6034479,3.62068965517
6034480,3.86363636364
6034517,8.33333333333
6034536,12.5714285714
6034540,17.0476190476
6034541,47.75
6034542,58.0
6034544,11.0714285714
6034546,6.56842105263
6034548,9.66666666667
6034557,16.1333333333
6034703,6.5
6034771,6.10863356053
6034857,20.6923076923
6034863,7.0
6034891,14.1153846154
6034900,6.58876811594
6034906,9.47297297297
6034915,5.73170731707
6034918,20.4964959569
6034920,5.0
6035077,9.6
6035100,12.1
6035101,15.35
6035106,20.5
6035244,11.2142857143
6035245,8.56818181818
6035293,19.0
6035310,3.46153846154
6035320,7.25
6035364,9.34848484848
6035365,20.4964959569
6035366,7.375
6035369,16.3428462709
6035386,5.9
6035434,4.0
6035637,10.3333333333
6035671,1.6
6035803,12.4791666667
6036567,5.88235294118
6036583,13.6590909091
6036586,24.6666666667
6036587,18.6666666667
6036780,1.0
6036874,18.0
6036875,9.88888888889
6036877,15.3333333333
6036878,16.8367346939
6037013,8.31428571429
6037082,12.6923076923
6037087,7.05757575758
6037207,23.675
6037218,16.0757575758
6037224,8.42355889724
6037225,10.4268292683
6037230,4.4
6037232,8.05191568153
6037235,21.3
6037241,15.0
6037248,25.6038461538
6037254,8.88461538462
6037257,15.3181818182
6037261,4.55253623188
6037264,7.38888888889
6037265,8.62222222222
6037273,20.2
6037277,27.5
6037547,4.11764705882
6037607,8.74789915966
6037628,31.5
6037629,7.84444444444
