"names","file"
"Abadir, Karim Prof","k_m_abadir"
"Dr Katja Ahoniemi","k_ahoniemi"
"Professor Franklin Allen","f_allen"
"Alnuaimi, Tufool Dr","t_alnuaimi"
"Anandalingam Anand","anand"
"Autio, Erkko Prof ","erkko_autio"
"Ball, Rod","rod_ball"
"Barlow, James Prof","j_barlow"
"Professor David Begg - Emeritus Professor of Economics","d_begg"
"Berti, Giaime Dr","g_berti"
"Bhamra, Harjoat Dr","h_bhamra"
"Bruno Biais","b_biais"
"Biffis, Enrico, Dr","e_biffis"
"Buraschi, Andrea Prof","a_buraschi"
"Cathcart, Lara Dr","l_cathcart"
"Chaturvedi, Sankalp Dr","sankalp_chaturvedi"
"Chemla, Gilles Dr","g_chemla"
"Clarysse, Bart Prof","b_clarysse"
"Cox, Benita Dr","b_cox"
"Criscuolo, Paola Dr","p_criscuolo"
"Claudia Custodio","c_perdigao-dias-custodio"
"Dalpiaz, Elena Dr","e_dalpiaz"
"Della Corte, Pasquale Dr","p_dellacorte"
"de Preux, Laure Dr","l_depreux"
"Distaso, Walter Dr","w_distaso"
"Dr Charles Donovan","c_donovan"
"Andreas Eisingerich","a_eisingerich"
"Farkas Maria Dr","m_farkas"
"Fernando, Jeremy Mr","j_fernando"
"Fini, Riccardo Dr","r_fini"
"Dr Kun Fu","k_fu"
"Professor Douglas Gale","douglas_gale"
"Gann, David Prof","d_gann"
"Joachin Geske","j_geske"
"Ghossoub, Mario Dr","m_ghossoub"
"Goodridge, Peter Dr","p_goodridge10"
"Green, Richard Prof","r_green"
"Gurguc, Zeynep Dr","z_gurguc"
"Haskel, Jonathan Professor","j_haskel"
"Hattula, Johannes Dr - Assistant Professor","j_hattula"
"Professor Alan Hughes","alan_hughes"
"Professor Rustam Ibragimov","i_rustam"
"Jasmand, Dr Claudia","c_jasmand"
"Dr HeeJung Jung - Assistant Professor","hj_jung"
"Dr Petri Jylha","p_jylha"
"Kacperczyk, Marcin Professor","m_kacperczyk"
"Kennedy, Mark Dr","mark_kennedy"
"Andrei Kirilenko","a_kirilenko"
"Kivleniece, Ilze Dr","ilze_kivleniece"
"Kosova, Renata Dr","r_kosova"
"Kosowski, Robert Dr ","r_kosowski"
"Koutroumpis, Pantelis Dr","p_koutroumpis"
"Leiponen, Aija Dr ","a_leiponen"
"Love, Colin Mr","c_love"
"Ian Mackenzie","ian_mackenzie"
"Malhotra, Namrata Dr","n_malhotra"
"Martin, Ralf Dr","r_martin"
"Meade, Nigel Professor","n_meade"
"Dr Omar Merlo","o_merlo"
"Meuleman, Dr Miguel","m_meuleman"
"Edgar Meyer","e_meyer"
"Michaelides, Alexander Professor","a_michaelides"
"Mikolon, Sven","s_mikolon"
"Miles, Professor David","d_miles"
"Miraldo, Marisa Dr","m_miraldo"
"Mishina, Yuri Dr","y_mishina"
"Dr Marco Mongiello","m_mongiello"
"Morgan, Diane Ms","d_morgan"
"Dr Catherine Mulligan","c_mulligan"
"Dr Jennifer O'Connor","j_oconnor"
"Ozaki, Ritsuko Dr","r_ozaki"
"Pagnotta, Emiliano Dr Assistant Professor","e_pagnotta"
"Pauwels, Charlotte Ms","c_pauwels"
"Perkmann, Markus Dr","m_perkmann"
"Phillips, Nelson Professor","n_phillips"
"Eliana Barrenho","eliana_barrenho"
"Pinto, Jonathan Dr","j_pinto"
"Pittaway, Jeffrey Mr","jeffrey_pittaway"
"Propper,","c_propper"
"Dr Cesare Robotti","c_robotti"
"Ross, Jan-Michael Dr","jan_ross"
"Maria Rosa Sanchis-Guarner Herrero","r_sanchis-guarner"
"Franco Sassi","f_sassi"
"Sefton, James Prof","j_sefton"
"Sharapov, Dmitry Dr","dmitry_sharapov"
"Sismeiro, Catarina Dr","c_sismeiro"
"Smith, Keith Dr","keith_smith"
"Smith, Peter C Professor","peter_smith"
"Konstantina Spanaki","k_spanaki"
"Stigliani, Ileana Miss","i_stigliani"
"Talluri, Kalyan Professor","kalyan_talluri"
"Dr Paolo Taticchi","p_taticchi"
"Teh, Caroline","c_teh"
"ter Wal, Anne","a_terwal"
"Tinn, Katrin Dr","k_tinn"
"Angelos Tsoukalas","a_tsoukalas"
"Tuk, Mirjam Dr","m_tuk"
"Valletti, Tommaso Prof","t_valletti"
"Antoinne Vernet","a_vernet"
"Anu Wadhawa","a_wadhwa"
"Wiesemann, Wolfram Dr","ww"
"Williams, Dr Olayinka","o_williams"
"Wright, Mike Professor","mike_wright"
"Wu, Jiahua Dr","j_wu"
"George Yip","g_yip"
"Zaffaroni, Paolo Dr","p_zaffaroni"
"zhang, Tom","thomas_zhang"
