actual,staff,matched_to,sim,correct
brevan_howard,Professor Franklin Allen,global_finance_tech,0.0835467353046,False
brevan_howard,Professor Douglas Gale,hedge_funds,0.0994267774039,False
centre_for_management_buy_out_research,"Wright, Mike Professor",centre_for_management_buy_out_research,0.12632278816,True
enterprise_research_centre,"Wright, Mike Professor",centre_for_management_buy_out_research,0.12632278816,False
centre_for_management_buy_out_research,"Ball, Rod",centre_for_management_buy_out_research,0.0711748279217,True
energy_business_research,"Autio, Erkko Prof ",ghandi_centre,0.13971332295,False
energy_business_research,"Biffis, Enrico, Dr",risk_mgmt,0.152909433862,False
hedge_funds,"Biffis, Enrico, Dr",risk_mgmt,0.152909433862,False
risk_mgmt,"Biffis, Enrico, Dr",risk_mgmt,0.152909433862,True
energy_business_research,"Della Corte, Pasquale Dr",hedge_funds,0.103707560603,False
hedge_funds,"Della Corte, Pasquale Dr",hedge_funds,0.103707560603,True
risk_mgmt,"Della Corte, Pasquale Dr",hedge_funds,0.103707560603,False
energy_business_research,"Distaso, Walter Dr",global_finance_tech,0.113933178797,False
hedge_funds,"Distaso, Walter Dr",global_finance_tech,0.113933178797,False
risk_mgmt,"Distaso, Walter Dr",global_finance_tech,0.113933178797,False
energy_business_research,"Green, Richard Prof",kpmg,0.100568867177,False
ghandi_centre,"Green, Richard Prof",kpmg,0.100568867177,False
energy_business_research,"Kosowski, Robert Dr ",hedge_funds,0.1542291912,False
hedge_funds,"Kosowski, Robert Dr ",hedge_funds,0.1542291912,True
risk_mgmt,"Kosowski, Robert Dr ",hedge_funds,0.1542291912,False
energy_business_research,"Martin, Ralf Dr",health_mgmt,0.107397679371,False
energy_business_research,"Ozaki, Ritsuko Dr",energy_business_research,0.182036410924,True
energy_business_research,"Smith, Keith Dr",enterprise_research_centre,0.139665204782,False
energy_business_research,"Wiesemann, Wolfram Dr",brevan_howard,0.116335010149,False
kpmg,"Wiesemann, Wolfram Dr",brevan_howard,0.116335010149,False
global_finance_tech,Andrei Kirilenko,global_finance_tech,0.107595221669,True
health_mgmt,"Barlow, James Prof",health_mgmt,0.150755672289,True
health_mgmt,"Cox, Benita Dr",health_mgmt,0.115485767256,True
health_mgmt,"Miraldo, Marisa Dr",brevan_howard,0.129971521706,False
kpmg,"Miraldo, Marisa Dr",brevan_howard,0.129971521706,False
ghandi_centre,"Miraldo, Marisa Dr",brevan_howard,0.129971521706,False
health_mgmt,"de Preux, Laure Dr",energy_business_research,0.114833850353,False
health_mgmt,"Propper,",health_mgmt,0.140317024208,True
health_mgmt,"Smith, Peter C Professor",health_mgmt,0.122784911447,True
health_mgmt,Eliana Barrenho,kpmg,0.104308755713,False
hedge_funds,"Cathcart, Lara Dr",brevan_howard,0.105409255339,False
risk_mgmt,"Cathcart, Lara Dr",brevan_howard,0.105409255339,False
hedge_funds,"Sefton, James Prof",hedge_funds,0.115177584204,True
risk_mgmt,"Sefton, James Prof",hedge_funds,0.115177584204,False
hedge_funds,"Zaffaroni, Paolo Dr",hedge_funds,0.157687820147,True
risk_mgmt,"Zaffaroni, Paolo Dr",hedge_funds,0.157687820147,False
hedge_funds,"Abadir, Karim Prof",hedge_funds,0.0679602447357,True
risk_mgmt,"Abadir, Karim Prof",hedge_funds,0.0679602447357,False
hedge_funds,"Buraschi, Andrea Prof",hedge_funds,0.151189055543,True
risk_mgmt,"Buraschi, Andrea Prof",hedge_funds,0.151189055543,False
hedge_funds,"Chemla, Gilles Dr",brevan_howard,0.119893475345,False
risk_mgmt,"Chemla, Gilles Dr",brevan_howard,0.119893475345,False
hedge_funds,"Tinn, Katrin Dr",global_finance_tech,0.13617619485,False
risk_mgmt,"Tinn, Katrin Dr",global_finance_tech,0.13617619485,False
hedge_funds,Dr Petri Jylha,brevan_howard,0.144149994031,False
risk_mgmt,Dr Petri Jylha,brevan_howard,0.144149994031,False
hedge_funds,Professor Rustam Ibragimov,global_finance_tech,0.094345635305,False
risk_mgmt,Professor Rustam Ibragimov,global_finance_tech,0.094345635305,False
digital_city_exchange,"Gann, David Prof",kpmg,0.101765257461,False
kpmg,"Kennedy, Mark Dr",kpmg,0.135704127082,True
kpmg,"Haskel, Jonathan Professor",kpmg,0.14008821479,True
kpmg,"Talluri, Kalyan Professor",kpmg,0.102716162103,True
ghandi_centre,"Talluri, Kalyan Professor",kpmg,0.102716162103,False
kpmg,"Sismeiro, Catarina Dr",kpmg,0.105382093677,True
ghandi_centre,"Chaturvedi, Sankalp Dr",ghandi_centre,0.0996058581484,True
ghandi_centre,Andreas Eisingerich,kpmg,0.142107448331,False
ghandi_centre,"Malhotra, Namrata Dr",risk_mgmt,0.135359628221,False
ghandi_centre,Anu Wadhawa,centre_for_management_buy_out_research,0.106382978723,False
ghandi_centre,"Alnuaimi, Tufool Dr",ghandi_centre,0.160008865003,True
ghandi_centre,"Pinto, Jonathan Dr",global_finance_tech,0.0638153444717,False
ghandi_centre,"Pinto, Jonathan Dr",risk_mgmt,0.0638153444717,False
ghandi_centre,"Mishina, Yuri Dr",centre_for_management_buy_out_research,0.107537664469,False
